dataset,source_segment_profit_usd_not_continuous,trade_count,buy_count,buy_net_usd_not_continuous,sell_count,sell_net_usd_not_continuous,largest_trade_usd,largest_trade_symbol,largest_trade_exit_time,largest_losing_trade_usd,largest_losing_trade_symbol,largest_losing_trade_exit_time,best_source_timestamp_date_not_e8_server_day,best_source_timestamp_date_profit_usd,best_source_date_percent_of_segment_profit,largest_positive_symbol,largest_positive_symbol_net_usd,largest_positive_symbol_percent_of_segment_profit
V28_2025_DEVELOPMENT,491.5097303307668,70,36,359.184021806957,34,132.32570852380994,146.1169585445834,USDCHF,2025.04.07 10:05:01,-62.14457355314722,USDJPY,2025.10.06 07:37:36,2025.04.07,411.10696603540947,83.64167394178557,EURUSD,173.7872329697224,35.35784181785586
V28_2026_PRESEAL_DEVELOPMENT,258.790119596238,35,18,315.7100140527425,17,-56.91989445650461,123.75158176020363,USDCAD,2026.07.06 10:05:01,-54.1229124668352,USDCAD,2026.05.21 16:08:04,2026.07.06,524.3291806796879,202.60788220884996,AUDUSD,155.3140690643341,60.0154554998675
