field,value
classification,NO_OPEN_POSITION_AT_CUTOFF
eligible_to,2025.03.07 23:00:00
observation_time,2025.03.07 23:00:00
position_open,NO
position_ticket,4
position_identifier,4
position_type,0
volume,0.05000000
entry_price,1.0864100000
stop_loss,1.0815800000
unrealized_result_reporting_only,-11.35000000
formal_pnl_included,NO
naturally_closed_trade_included,NO
