dataset,source_segment_closed_profit_usd_not_continuous,trade_count,buy_count,buy_net_usd,sell_count,sell_net_usd,largest_trade_usd,largest_loss_usd
V28_2025_DEVELOPMENT,491.5097303307666,70,36,359.184021806957,34,132.32570852380994,146.1169585445834,-62.14457355314722
V28_2026_PRESEAL_DEVELOPMENT,258.79011959623807,35,18,315.7100140527425,17,-56.91989445650461,123.75158176020363,-54.1229124668352
