schema,time,segment_id,record_type,signal_bar_time,position_identifier,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,exit_reason,fill_confirmed,retest_candle_number,confirmation_timestamp,confirmation_atr
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.05.06 21:00:00,2025_S3,ENTRY_ATTEMPT,2025.05.06 20:00:00,0,BUY,1.1365200000,0.0000000000,13,0.0000,0.06000000,24.18000000,1.1324900000,18,18,10009,NONE,NO,4,2025.05.06 20:00:00,0.002012739787
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.05.07 03:23:51,2025_S3,EXIT_TRANSACTION,NONE,18,BUY,0.0000000000,1.1324900000,0,0.0000,0.06000000,0,0,19,19,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.05.08 04:00:00,2025_S3,ENTRY_ATTEMPT,2025.05.08 03:00:00,0,SELL,1.1309400000,0.0000000000,17,0.0000,0.06000000,22.98000000,1.1347700000,20,20,10009,NONE,NO,5,2025.05.08 03:00:00,0.001914132659
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.05.09 09:00:00,2025_S3,EXIT_ATTEMPT,2025.05.09 08:00:00,20,SELL,1.1235900000,0.0000000000,0,0.0000,0.06000000,0,0,21,21,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.05.09 09:00:00,2025_S3,EXIT_TRANSACTION,NONE,20,SELL,1.1235900000,1.1235900000,0,0.0000,0.06000000,0,0,21,21,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.05.23 11:00:00,2025_S3,ENTRY_ATTEMPT,2025.05.23 10:00:00,0,BUY,1.1340000000,0.0000000000,12,0.0000,0.07000000,23.45000000,1.1306500000,22,22,10009,NONE,NO,2,2025.05.23 10:00:00,0.001674102364
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.05.23 14:52:23,2025_S3,EXIT_TRANSACTION,NONE,22,BUY,0.0000000000,1.1306300000,0,0.0000,0.07000000,0,0,23,23,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.05.28 20:00:00,2025_S3,ENTRY_ATTEMPT,2025.05.28 19:00:00,0,SELL,1.1293100000,0.0000000000,12,0.0000,0.07000000,22.47000000,1.1325200000,24,24,10009,NONE,NO,1,2025.05.28 19:00:00,0.001604538027
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.05.29 14:00:00,2025_S3,EXIT_ATTEMPT,2025.05.29 13:00:00,24,SELL,1.1286700000,0.0000000000,0,0.0000,0.07000000,0,0,25,25,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.05.29 14:00:00,2025_S3,EXIT_TRANSACTION,NONE,24,SELL,1.1286700000,1.1286700000,0,0.0000,0.07000000,0,0,25,25,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.06.02 09:00:00,2025_S3,ENTRY_ATTEMPT,2025.06.02 08:00:00,0,BUY,1.1380100000,0.0000000000,12,0.0000,0.08000000,24.08000000,1.1350000000,26,26,10009,NONE,NO,5,2025.06.02 08:00:00,0.001502518818
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.06.03 12:00:00,2025_S3,EXIT_ATTEMPT,2025.06.03 11:00:00,26,BUY,1.1410500000,0.0000000000,0,0.0000,0.08000000,0,0,27,27,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.06.03 12:00:00,2025_S3,EXIT_TRANSACTION,NONE,26,BUY,1.1410500000,1.1410500000,0,0.0000,0.08000000,0,0,27,27,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.06.04 16:00:00,2025_S3,ENTRY_ATTEMPT,2025.06.04 15:00:00,0,BUY,1.1410000000,0.0000000000,12,0.0000,0.07000000,22.47000000,1.1377900000,28,28,10009,NONE,NO,4,2025.06.04 15:00:00,0.001601695349
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.06.05 09:00:00,2025_S3,EXIT_ATTEMPT,2025.06.05 08:00:00,28,BUY,1.1405500000,0.0000000000,0,0.0000,0.07000000,0,0,29,29,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.06.05 09:00:00,2025_S3,EXIT_TRANSACTION,NONE,28,BUY,1.1405500000,1.1405500000,0,0.0000,0.07000000,0,0,29,29,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.06.16 11:00:00,2025_S3,ENTRY_ATTEMPT,2025.06.16 10:00:00,0,BUY,1.1579500000,0.0000000000,12,0.0000,0.06000000,23.82000000,1.1539800000,30,30,10009,NONE,NO,1,2025.06.16 10:00:00,0.001981324461
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.06.16 23:00:00,2025_S3,EXIT_ATTEMPT,2025.06.16 22:00:00,30,BUY,1.1554800000,0.0000000000,0,0.0000,0.06000000,0,0,31,31,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.06.16 23:00:00,2025_S3,EXIT_TRANSACTION,NONE,30,BUY,1.1554800000,1.1554800000,0,0.0000,0.06000000,0,0,31,31,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.06.19 09:00:00,2025_S3,ENTRY_ATTEMPT,2025.06.19 08:00:00,0,SELL,1.1455600000,0.0000000000,12,0.0000,0.07000000,24.08000000,1.1490000000,32,32,10009,NONE,NO,4,2025.06.19 08:00:00,0.001718964227
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.06.19 22:11:44,2025_S3,EXIT_TRANSACTION,NONE,32,SELL,0.0000000000,1.1490000000,0,0.0000,0.07000000,0,0,33,33,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.06.20 01:00:00,2025_S3,ENTRY_ATTEMPT,2025.06.20 00:00:00,0,BUY,1.1494500000,0.0000000000,19,0.0000,0.08000000,24.48000000,1.1463900000,34,34,10009,NONE,NO,2,2025.06.20 00:00:00,0.001528703076
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.06.23 00:01:01,2025_S3,EXIT_TRANSACTION,NONE,34,BUY,0.0000000000,1.1453400000,0,0.0000,0.08000000,0,0,35,35,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.06.26 13:00:00,2025_S3,ENTRY_ATTEMPT,2025.06.26 12:00:00,0,BUY,1.1725500000,0.0000000000,12,0.0000,0.06000000,21.72000000,1.1689300000,36,36,10009,NONE,NO,1,2025.06.26 12:00:00,0.001805283507
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.06.26 15:37:11,2025_S3,EXIT_TRANSACTION,NONE,36,BUY,0.0000000000,1.1689200000,0,0.0000,0.06000000,0,0,37,37,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.06.30 20:00:00,2025_S3,ENTRY_ATTEMPT,2025.06.30 19:00:00,0,BUY,1.1763300000,0.0000000000,13,0.0000,0.06000000,23.34000000,1.1724400000,38,38,10009,NONE,NO,1,2025.06.30 19:00:00,0.001944802254
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.07.01 20:00:00,2025_S3,EXIT_ATTEMPT,2025.07.01 19:00:00,38,BUY,1.1764900000,0.0000000000,0,0.0000,0.06000000,0,0,39,39,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.07.01 20:00:00,2025_S3,EXIT_TRANSACTION,NONE,38,BUY,1.1764900000,1.1764900000,0,0.0000,0.06000000,0,0,39,39,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.07.14 02:00:00,2025_S3,ENTRY_ATTEMPT,2025.07.14 01:00:00,0,SELL,1.1664000000,0.0000000000,17,0.0000,0.08000000,23.84000000,1.1693800000,40,40,10009,NONE,NO,1,2025.07.14 01:00:00,0.001486551977
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.07.14 03:55:23,2025_S3,EXIT_TRANSACTION,NONE,40,SELL,0.0000000000,1.1693900000,0,0.0000,0.08000000,0,0,41,41,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.07.16 18:00:00,2025_S3,ENTRY_ATTEMPT,2025.07.16 17:00:00,0,SELL,1.1591800000,0.0000000000,12,0.0000,0.07000000,22.96000000,1.1624600000,42,42,10009,NONE,NO,1,2025.07.16 17:00:00,0.001635643081
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.07.16 18:11:39,2025_S3,EXIT_TRANSACTION,NONE,42,SELL,0.0000000000,1.1624700000,0,0.0000,0.07000000,0,0,43,43,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.07.24 01:00:00,2025_S3,ENTRY_ATTEMPT,2025.07.24 00:00:00,0,BUY,1.1771200000,0.0000000000,25,0.0000,0.08000000,22.64000000,1.1742900000,44,44,10009,NONE,NO,3,2025.07.24 00:00:00,0.001411165989
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.07.24 10:00:00,2025_S3,EXIT_ATTEMPT,2025.07.24 09:00:00,44,BUY,1.1756500000,0.0000000000,0,0.0000,0.08000000,0,0,45,45,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.07.24 10:00:00,2025_S3,EXIT_TRANSACTION,NONE,44,BUY,1.1756500000,1.1756500000,0,0.0000,0.08000000,0,0,45,45,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.07.28 04:00:00,2025_S3,ENTRY_ATTEMPT,2025.07.28 03:00:00,0,BUY,1.1764600000,0.0000000000,13,0.0000,0.09000000,24.75000000,1.1737100000,46,46,10009,NONE,NO,3,2025.07.28 03:00:00,0.001371716015
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.07.28 09:04:58,2025_S3,EXIT_TRANSACTION,NONE,46,BUY,0.0000000000,1.1737100000,0,0.0000,0.09000000,0,0,47,47,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.07.28 18:00:00,2025_S3,ENTRY_ATTEMPT,2025.07.28 17:00:00,0,SELL,1.1636500000,0.0000000000,12,0.0000,0.06000000,22.68000000,1.1674300000,48,48,10009,NONE,NO,1,2025.07.28 17:00:00,0.001885548873
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.07.30 04:00:00,2025_S3,EXIT_ATTEMPT,2025.07.30 03:00:00,48,SELL,1.1567900000,0.0000000000,0,0.0000,0.06000000,0,0,49,49,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.07.30 04:00:00,2025_S3,EXIT_TRANSACTION,NONE,48,SELL,1.1567900000,1.1567900000,0,0.0000,0.06000000,0,0,49,49,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.08.01 15:00:00,2025_S3,ENTRY_ATTEMPT,2025.08.01 14:00:00,0,SELL,1.1404200000,0.0000000000,12,0.0000,0.07000000,23.10000000,1.1437200000,50,50,10009,NONE,NO,2,2025.08.01 14:00:00,0.001646335852
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.08.01 15:30:18,2025_S3,EXIT_TRANSACTION,NONE,50,SELL,0.0000000000,1.1437600000,0,0.0000,0.07000000,0,0,51,51,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.08.05 09:00:00,2025_S3,ENTRY_ATTEMPT,2025.08.05 08:00:00,0,SELL,1.1550400000,0.0000000000,12,0.0000,0.08000000,24.80000000,1.1581400000,52,52,10009,NONE,NO,1,2025.08.05 08:00:00,0.001546561180
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.08.05 17:00:00,2025_S3,EXIT_ATTEMPT,2025.08.05 16:00:00,52,SELL,1.1565800000,0.0000000000,0,0.0000,0.08000000,0,0,53,53,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.08.05 17:00:00,2025_S3,EXIT_TRANSACTION,NONE,52,SELL,1.1565800000,1.1565800000,0,0.0000,0.08000000,0,0,53,53,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
