condition,source_dataset,source_date_not_normalized_to_utc_plus_3,source_segment_previous_day_balance_proxy_usd,source_segment_realized_cash_flow_proxy_usd,source_segment_end_of_date_balance_proxy_usd,midnight_balance_utc_plus_3_usd,midnight_equity_utc_plus_3_usd,intraday_minimum_equity_usd,official_profitable_day_calculation_usd,authoritative_status,continuity_note
NORMAL,V28_2025_DEVELOPMENT,2025-02-12,9986.9838294177,0.0000000000,9986.9838294177,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-13,9986.9838294177,0.0000000000,9986.9838294177,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-14,9986.9838294177,-148.5763635165,9838.4074659013,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-15,9838.4074659013,0.0000000000,9838.4074659013,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-16,9838.4074659013,0.0000000000,9838.4074659013,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-17,9838.4074659013,0.0000000000,9838.4074659013,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-18,9838.4074659013,0.0000000000,9838.4074659013,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-19,9838.4074659013,0.0000000000,9838.4074659013,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-20,9838.4074659013,0.0000000000,9838.4074659013,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-21,9838.4074659013,0.0000000000,9838.4074659013,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-22,9838.4074659013,0.0000000000,9838.4074659013,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-23,9838.4074659013,0.0000000000,9838.4074659013,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-24,9838.4074659013,0.0000000000,9838.4074659013,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-25,9838.4074659013,0.0000000000,9838.4074659013,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-26,9838.4074659013,0.0000000000,9838.4074659013,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-27,9838.4074659013,0.0000000000,9838.4074659013,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-28,9838.4074659013,0.0000000000,9838.4074659013,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-03-01,9838.4074659013,0.0000000000,9838.4074659013,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-03-02,9838.4074659013,0.0000000000,9838.4074659013,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-03-03,9838.4074659013,0.0000000000,9838.4074659013,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-03-04,9838.4074659013,0.0000000000,9838.4074659013,,,,,INSUFFICIENT_EVIDENCE,
