schema,time,segment_id,record_type,signal_bar_time,position_identifier,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,exit_reason,fill_confirmed,retest_candle_number,confirmation_timestamp,confirmation_atr
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.04.27 14:00:01,2026_P2,ENTRY_ATTEMPT,2026.04.27 13:00:00,0,BUY,1.1746700000,0.0000000000,12,0.0000,0.11000000,23.87000000,1.1725000000,2,2,10009,NONE,NO,2,2026.04.27 13:00:00,0.001083701637
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.04.27 19:54:44,2026_P2,EXIT_TRANSACTION,NONE,2,BUY,0.0000000000,1.1725000000,0,0.0000,0.11000000,0,0,3,3,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.04.28 06:00:00,2026_P2,ENTRY_ATTEMPT,2026.04.28 05:00:00,0,SELL,1.1707800000,0.0000000000,14,0.0000,0.14000000,24.92000000,1.1725600000,4,4,10009,NONE,NO,1,2026.04.28 05:00:00,0.000885748417
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.04.28 19:00:00,2026_P2,EXIT_ATTEMPT,2026.04.28 18:00:00,4,SELL,1.1714700000,0.0000000000,0,0.0000,0.14000000,0,0,5,5,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.04.28 19:00:00,2026_P2,EXIT_TRANSACTION,NONE,4,SELL,1.1714700000,1.1714700000,0,0.0000,0.14000000,0,0,5,5,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.04.29 20:00:00,2026_P2,ENTRY_ATTEMPT,2026.04.29 19:00:00,0,SELL,1.1684000000,0.0000000000,13,0.0000,0.10000000,24.10000000,1.1708100000,6,6,10009,NONE,NO,3,2026.04.29 19:00:00,0.001203623475
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.04.30 13:30:02,2026_P2,EXIT_TRANSACTION,NONE,6,SELL,0.0000000000,1.1708400000,0,0.0000,0.10000000,0,0,7,7,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.05.01 17:00:00,2026_P2,ENTRY_ATTEMPT,2026.05.01 16:00:00,0,BUY,1.1763200000,0.0000000000,20,0.0000,0.09000000,24.48000000,1.1736000000,8,8,10009,NONE,NO,2,2026.05.01 16:00:00,0.001358452527
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.05.01 20:03:59,2026_P2,EXIT_TRANSACTION,NONE,8,BUY,0.0000000000,1.1735300000,0,0.0000,0.09000000,0,0,9,9,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.05.04 16:00:00,2026_P2,ENTRY_ATTEMPT,2026.05.04 15:00:00,0,SELL,1.1708600000,0.0000000000,12,0.0000,0.08000000,22.88000000,1.1737200000,10,10,10009,NONE,NO,2,2026.05.04 15:00:00,0.001427303105
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.05.05 18:00:00,2026_P2,EXIT_ATTEMPT,2026.05.05 17:00:00,10,SELL,1.1706300000,0.0000000000,0,0.0000,0.08000000,0,0,11,11,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.05.05 18:00:00,2026_P2,EXIT_TRANSACTION,NONE,10,SELL,1.1706300000,1.1706300000,0,0.0000,0.08000000,0,0,11,11,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.05.06 04:00:00,2026_P2,ENTRY_ATTEMPT,2026.05.06 03:00:00,0,BUY,1.1720500000,0.0000000000,12,0.0000,0.11000000,24.75000000,1.1698000000,12,12,10009,NONE,NO,1,2026.05.06 03:00:00,0.001121818781
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.05.07 23:00:00,2026_P2,EXIT_ATTEMPT,2026.05.07 22:00:00,12,BUY,1.1733100000,0.0000000000,0,0.0000,0.11000000,0,0,13,13,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.05.07 23:00:00,2026_P2,EXIT_TRANSACTION,NONE,12,BUY,1.1733100000,1.1733100000,0,0.0000,0.11000000,0,0,13,13,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.05.08 17:00:00,2026_P2,ENTRY_ATTEMPT,2026.05.08 16:00:00,0,BUY,1.1779900000,0.0000000000,15,0.0000,0.09000000,23.04000000,1.1754300000,14,14,10009,NONE,NO,1,2026.05.08 16:00:00,0.001275794529
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.05.11 00:01:32,2026_P2,EXIT_TRANSACTION,NONE,14,BUY,0.0000000000,1.1741900000,0,0.0000,0.09000000,0,0,15,15,0,STOP_LOSS_EXIT,YES,0,NONE,0
