dataset,source_segment_closed_profit_usd_not_continuous,trade_count,buy_count,buy_net_usd,sell_count,sell_net_usd,largest_trade_usd,largest_loss_usd
V28_2025_DEVELOPMENT,492.1189176934587,70,36,360.52552912756977,34,131.59338856588892,146.0806217894636,-62.201128961556535
V28_2026_PRESEAL_DEVELOPMENT,257.6137980115924,35,18,314.65168206945236,17,-57.037884057860055,123.73927432052116,-54.07920340591486
