field,value
classification,RIGHT_CENSORED_OPEN_POSITION
eligible_to,2025.03.07 23:00:00
observation_time,2025.03.07 23:00:00
position_open,YES
position_ticket,10
position_identifier,10
position_type,0
volume,0.08000000
entry_price,1.0453100000
stop_loss,1.0423100000
unrealized_result_reporting_only,310.29000000
formal_pnl_included,NO
naturally_closed_trade_included,NO
later_deals,POST_CUTOFF_EXCLUDED
