field,value
schema,SOLTRADE_PHASE6_V31_SIGNAL_SUMMARY_V1
dataset,V31_SIGNAL_ADAPTER_EQUIVALENCE_2025
eligible_from,2025.01.06 00:00:00
eligible_to_exclusive,2026.01.01 00:00:00
cohorts,11
legs,77
buy,39
sell,38
skips,0
max_tick,2025.12.31 23:59:58
seal_breach,NO
orders_or_positions,ZERO
pnl_calculated,NO
status,PASS
