field,value
schema,SOLTRADE_PHASE6_V26_SIGNAL_SUMMARY_V1
dataset,V26_2025_DEVELOPMENT
eligible_from,2025.01.06 10:05:00
eligible_to_exclusive,2026.01.01 00:00:00
rebalances,51
selected_legs,204
skipped_rebalances,0
max_tick,2025.12.31 23:59:59
seal_breach,NO
orders_or_positions,ZERO
pnl_calculated,NO
status,PASS
