schema,symbol,previous_tick,current_tick,gap_seconds
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.04.14 23:57:59,2023.04.17 00:00:30,172951
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.04.21 23:57:56,2023.04.24 00:00:31,172955
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.04.28 23:57:59,2023.05.01 00:00:31,172952
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.05.05 23:57:59,2023.05.08 00:00:31,172952
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.05.12 23:57:59,2023.05.15 00:00:31,172952
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.05.19 23:57:55,2023.05.22 00:00:31,172956
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.05.26 23:57:59,2023.05.29 00:00:31,172952
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.06.02 23:57:55,2023.06.05 00:00:31,172956
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.06.09 23:57:59,2023.06.12 00:00:31,172952
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.06.16 23:57:59,2023.06.19 00:00:31,172952
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.06.23 23:57:58,2023.06.26 00:00:31,172953
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.06.30 23:57:41,2023.07.03 00:00:31,172970
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.07.07 23:57:58,2023.07.10 00:00:04,172926
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.07.14 23:57:59,2023.07.17 00:00:30,172951
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.07.21 23:57:36,2023.07.24 00:00:31,172975
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.07.28 23:57:59,2023.07.31 00:00:31,172952
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.08.04 23:57:59,2023.08.07 00:00:31,172952
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.08.11 23:57:58,2023.08.14 00:00:07,172929
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.08.18 23:57:59,2023.08.21 00:00:08,172929
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.08.25 23:57:59,2023.08.28 00:00:07,172928
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.09.01 23:57:57,2023.09.04 00:00:07,172930
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.09.08 23:57:57,2023.09.11 00:00:06,172929
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.09.15 23:57:59,2023.09.18 00:00:09,172930
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.09.22 23:57:57,2023.09.25 00:00:05,172928
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.09.29 23:57:37,2023.10.02 00:00:06,172949
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.10.06 23:57:58,2023.10.09 00:00:04,172926
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.10.13 23:57:59,2023.10.16 00:00:04,172925
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.10.20 23:57:57,2023.10.23 00:00:09,172932
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.10.27 23:57:58,2023.10.30 00:00:04,172926
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.11.03 23:57:23,2023.11.06 00:00:03,172960
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.11.10 23:57:58,2023.11.13 00:00:05,172927
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.11.17 23:57:26,2023.11.20 00:00:06,172960
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.11.24 23:57:59,2023.11.27 00:00:09,172930
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.12.01 23:57:59,2023.12.04 00:00:04,172925
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.12.08 23:57:55,2023.12.11 00:00:01,172926
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.12.15 23:57:49,2023.12.18 00:00:04,172935
SOLTRADE_PHASE6_V30C_GAP_V1,GBPUSD,2023.12.22 23:57:59,2023.12.27 00:00:06,345727
