schema,time,segment_id,record_type,signal_bar_time,position_identifier,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,exit_reason,fill_confirmed
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.20 04:00:00,V2,ENTRY_ATTEMPT,2025.08.20 03:00:00,0,SELL,0.0000000000,0.0000000000,12,0.0000,0.00000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.20 05:00:00,V2,ENTRY_ATTEMPT,2025.08.20 04:00:00,0,SELL,0.0000000000,0.0000000000,12,0.0000,0.00000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.20 06:00:00,V2,ENTRY_ATTEMPT,2025.08.20 05:00:00,0,SELL,0.0000000000,0.0000000000,12,0.0000,0.00000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.20 16:00:00,V2,ENTRY_ATTEMPT,2025.08.20 15:00:00,0,BUY,1.1671400000,0.0000000000,12,0.0000,0.09000000,22.77000000,1.1646100000,2,2,10009,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.20 17:00:00,V2,EXIT_ATTEMPT,2025.08.20 16:00:00,2,BUY,0.0000000000,0.0000000000,0,0.0000,0.09000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.20 18:00:00,V2,EXIT_ATTEMPT,2025.08.20 17:00:00,2,BUY,0.0000000000,0.0000000000,0,0.0000,0.09000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.20 18:54:57,V2,EXIT_TRANSACTION,NONE,2,BUY,0.0000000000,1.1645900000,0,0.0000,0.09000000,0.00000000,0.0000000000,3,3,0,STOP_LOSS_EXIT,YES
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.21 10:00:00,V2,ENTRY_ATTEMPT,2025.08.21 09:00:00,0,SELL,0.0000000000,0.0000000000,12,0.0000,0.00000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.21 17:00:00,V2,ENTRY_ATTEMPT,2025.08.21 16:00:00,0,SELL,1.1620400000,0.0000000000,12,0.0000,0.08000000,23.12000000,1.1649300000,4,4,10009,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.21 18:00:00,V2,EXIT_ATTEMPT,2025.08.21 17:00:00,4,SELL,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.21 19:00:00,V2,EXIT_ATTEMPT,2025.08.21 18:00:00,4,SELL,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.21 19:00:00,V2,ENTRY_ATTEMPT,2025.08.21 18:00:00,0,SELL,0.0000000000,0.0000000000,13,0.0000,0.00000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.21 20:00:00,V2,EXIT_ATTEMPT,2025.08.21 19:00:00,4,SELL,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.21 21:00:00,V2,EXIT_ATTEMPT,2025.08.21 20:00:00,4,SELL,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.21 22:00:00,V2,EXIT_ATTEMPT,2025.08.21 21:00:00,4,SELL,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.21 23:00:00,V2,EXIT_ATTEMPT,2025.08.21 22:00:00,4,SELL,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.22 00:00:00,V2,EXIT_ATTEMPT,2025.08.21 23:00:00,4,SELL,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.22 01:00:00,V2,EXIT_ATTEMPT,2025.08.22 00:00:00,4,SELL,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.22 02:00:02,V2,EXIT_ATTEMPT,2025.08.22 01:00:00,4,SELL,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.22 03:00:00,V2,EXIT_ATTEMPT,2025.08.22 02:00:00,4,SELL,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.22 04:00:00,V2,EXIT_ATTEMPT,2025.08.22 03:00:00,4,SELL,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.22 05:00:00,V2,EXIT_ATTEMPT,2025.08.22 04:00:00,4,SELL,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.22 06:00:00,V2,EXIT_ATTEMPT,2025.08.22 05:00:00,4,SELL,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.22 07:00:00,V2,EXIT_ATTEMPT,2025.08.22 06:00:00,4,SELL,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.22 07:00:00,V2,ENTRY_ATTEMPT,2025.08.22 06:00:00,0,SELL,0.0000000000,0.0000000000,13,0.0000,0.00000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.22 08:00:00,V2,EXIT_ATTEMPT,2025.08.22 07:00:00,4,SELL,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.22 08:00:00,V2,ENTRY_ATTEMPT,2025.08.22 07:00:00,0,SELL,0.0000000000,0.0000000000,12,0.0000,0.00000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.08.22 09:00:00,V2,EXIT_ATTEMPT,2025.08.22 08:00:00,4,SELL,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
