position_identifier,symbol,direction,entry_time,exit_time,volume,native_net_before_external_commission,source_signed_swap,source_entry_spread_cost,fxify_snapshot_spread_points,fxify_snapshot_spread_cost,fxify_snapshot_swap_rate,fxify_snapshot_rollover_weight,fxify_snapshot_swap_cash,fxify_commission_6_per_lot,candidate_cash,historical_spread_swap_status
202,USDCAD,SELL,2026.05.04 10:05:00,2026.05.21 16:08:04,0.03,-44.279999999999994,-3.8,0.33094562195713884,11.0,0.23469003136326,-7.546,17,-2.7369551457583383,0.18,-43.30069955516445,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
198,EURUSD,BUY,2026.05.04 10:05:00,2026.06.01 10:05:00,0.02,-18.52,-5.36,0.24,6.0,0.12,-6.985,28,-3.9116000000000004,0.12,-17.0716,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
200,AUDUSD,BUY,2026.05.04 10:05:00,2026.06.01 10:05:00,0.02,-3.6,-1.08,0.28,6.0,0.12,0.369,28,0.20664000000000002,0.12,-2.2733600000000003,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
201,NZDUSD,BUY,2026.05.04 10:05:00,2026.06.01 10:05:00,0.02,11.66,-1.64,0.32,3.0,0.06,-2.552,28,-1.4291200000000002,0.12,12.010880000000002,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
203,USDCHF,SELL,2026.05.04 10:05:00,2026.06.01 10:05:00,0.02,-10.23,-8.31,0.43503851370371316,7.0,0.17300824260692,-10.043,28,-6.950087122005191,0.12,-8.728056850908397,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
204,USDJPY,SELL,2026.05.04 10:05:00,2026.06.01 10:05:00,0.02,-38.4,-6.72,0.2421384649695734,6.0,0.07611025839432001,-15.818,28,-5.618256313979652,0.12,-37.25222810740439,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
212,EURUSD,SELL,2026.06.01 10:05:01,2026.07.06 10:05:00,0.03,76.58,4.85,0.39,6.0,0.18,4.185,35,4.3942499999999995,0.18,76.15424999999999,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
213,GBPUSD,SELL,2026.06.01 10:05:01,2026.07.06 10:05:00,0.02,25.75,-1.05,0.36,10.0,0.2,-1.144,35,-0.8008,0.12,26.0392,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
214,AUDUSD,SELL,2026.06.01 10:05:01,2026.07.06 10:05:00,0.02,49.89,-0.35,0.26,6.0,0.12,-1.969,35,-1.3783,0.12,48.8817,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
215,NZDUSD,SELL,2026.06.01 10:05:01,2026.07.06 10:05:00,0.02,57.190000000000005,0.35,0.32,3.0,0.06,0.792,35,0.5544,0.12,57.534400000000005,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
216,USDCAD,BUY,2026.06.01 10:05:01,2026.07.06 10:05:00,0.04,118.62,3.48,0.4925038024190628,11.0,0.31292004181768,4.086,35,4.068245016395129,0.24,119.14782877699652,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
217,USDCHF,BUY,2026.06.01 10:05:01,2026.07.06 10:05:00,0.02,62.86,5.23,0.40903977911851924,7.0,0.17300824260692,4.602,35,3.98091966238523,0.12,61.726951198896835,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
218,USDJPY,BUY,2026.06.01 10:05:01,2026.07.06 10:05:00,0.04,76.93,8.34,0.40134702093902663,6.0,0.15222051678864001,7.332,35,6.510471503050133,0.24,75.10959800720052,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
229,NZDUSD,SELL,2026.07.06 10:05:03,2026.07.14 15:30:01,0.03,-45.3,0.09,0.48,3.0,0.09,0.792,8,0.19008,0.18,-44.989920000000005,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
230,USDCAD,BUY,2026.07.06 10:05:03,2026.07.15 21:20:34,0.03,-39.95,0.64,0.316504663168704,11.0,0.23469003136326,4.086,9,0.784590110304775,0.18,-39.90359525788978,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
232,USDJPY,BUY,2026.07.06 10:05:03,2026.07.30 16:55:09,0.04,-48.06,6.11,0.41909856828533215,6.0,0.15222051678864001,7.332,26,4.83635025940867,0.24,-49.30677168909464,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
