schema,symbol,previous_tick,current_tick,gap_seconds
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.03.10 00:59:59,2018.03.12 01:00:00,172801
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.03.16 23:59:59,2018.03.19 01:01:00,176461
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.03.23 23:59:59,2018.03.26 01:01:30,176491
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.03.31 00:59:59,2018.04.02 01:02:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.04.07 00:59:30,2018.04.09 01:00:30,172860
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.04.14 00:59:59,2018.04.16 01:02:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.04.21 00:59:59,2018.04.23 01:00:30,172831
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.04.23 23:59:59,2018.04.24 01:00:00,3601
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.04.28 00:59:59,2018.04.30 01:00:00,172801
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.05.05 00:59:59,2018.05.07 01:03:00,172981
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.05.12 00:59:59,2018.05.14 01:01:30,172891
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.05.19 00:59:59,2018.05.21 01:01:00,172861
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.05.26 00:59:30,2018.05.28 01:02:00,172950
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.06.02 00:59:59,2018.06.04 01:00:00,172801
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.06.09 00:59:59,2018.06.11 01:01:00,172861
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.06.16 00:59:59,2018.06.18 01:00:30,172831
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.06.23 00:59:30,2018.06.25 01:00:30,172860
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.06.30 00:59:30,2018.07.02 01:01:00,172890
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.07.07 00:59:59,2018.07.09 01:01:00,172861
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.07.14 00:59:30,2018.07.16 01:01:00,172890
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.07.21 00:59:30,2018.07.23 01:01:30,172920
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.07.28 00:59:59,2018.07.30 01:01:00,172861
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.08.04 00:59:59,2018.08.06 01:00:30,172831
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.08.11 00:59:59,2018.08.13 01:00:00,172801
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.08.18 00:59:59,2018.08.20 01:01:30,172891
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.08.25 00:57:59,2018.08.27 01:01:30,173011
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.09.01 00:57:59,2018.09.03 01:02:30,173071
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.09.08 00:57:59,2018.09.10 01:03:00,173101
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.09.15 00:57:59,2018.09.17 01:02:00,173041
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.09.22 00:57:59,2018.09.24 01:03:00,173101
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.09.29 00:57:59,2018.10.01 01:01:00,172981
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.10.06 00:59:59,2018.10.08 01:01:00,172861
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.10.08 23:59:59,2018.10.09 01:00:00,3601
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.10.13 00:59:59,2018.10.15 01:01:00,172861
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.10.20 00:57:59,2018.10.22 01:02:00,173041
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.10.27 00:57:59,2018.10.29 01:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.11.02 23:58:30,2018.11.05 01:01:00,176550
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.11.10 00:59:30,2018.11.12 01:01:00,172890
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.11.17 00:57:59,2018.11.19 01:02:00,173041
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.11.24 00:57:59,2018.11.26 01:02:00,173041
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.12.01 00:57:59,2018.12.03 01:02:00,173041
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.12.08 00:57:59,2018.12.10 01:01:00,172981
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.12.15 00:59:59,2018.12.17 01:01:00,172861
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.12.22 00:58:30,2018.12.24 01:00:30,172920
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.12.24 21:59:59,2018.12.26 07:00:00,118801
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.12.29 00:57:59,2018.12.31 01:02:00,173041
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2018.12.31 23:59:59,2019.01.02 07:00:00,111601
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2019.01.05 00:57:59,2019.01.07 01:04:30,173191
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2019.01.12 00:58:30,2019.01.14 01:00:30,172920
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2019.01.19 00:59:59,2019.01.21 01:01:00,172861
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2019.01.26 00:57:59,2019.01.28 01:02:00,173041
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2019.02.02 00:57:59,2019.02.04 01:02:00,173041
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2019.02.09 00:57:59,2019.02.11 01:02:00,173041
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2019.02.16 00:57:59,2019.02.18 01:02:00,173041
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2019.02.23 00:57:59,2019.02.25 01:02:00,173041
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2019.03.02 00:57:59,2019.03.04 01:02:30,173071
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2019.03.09 00:58:30,2019.03.11 01:00:00,172890
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2019.03.15 23:57:59,2019.03.18 01:00:00,176521
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2019.03.22 23:57:59,2019.03.25 01:00:00,176521
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2019.03.27 23:59:59,2019.03.28 01:00:00,3601
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2019.03.29 23:58:30,2019.04.01 01:02:00,176610
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2019.04.06 00:57:59,2019.04.08 01:02:30,173071
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2019.04.13 00:57:59,2019.04.15 01:02:00,173041
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2019.04.20 00:57:59,2019.04.22 01:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2019.04.27 00:57:59,2019.04.29 01:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2019.05.04 00:57:59,2019.05.06 01:02:00,173041
SOLTRADE_PHASE6_V30_TICK_GAP_V1,NZDUSD,2019.05.11 00:57:59,2019.05.13 01:02:30,173071
