cell_id,dataset,cost_profile,execution_layer,initial_synthetic_equity,final_synthetic_equity,adjusted_net_profit,gross_profit,gross_loss,profit_factor,expectancy_usd,expectancy_R,normalized_expectancy_R,naturally_closed_trades,winning_trades,losing_trades,win_rate_percent,relative_drawdown_percent,annualized_return_percent,best_trade_contribution_percent,best_currency_contribution_percent,best_registered_subperiod_contribution_percent,buy_trades,sell_trades,stop_loss_exits,time_exits
V27_2025_DEVELOPMENT-NORMAL-NATIVE,V27_2025_DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,10280.470749337073,280.4707493370733,635.4894444190041,-355.0186950819309,1.7900168448096696,6.232683318601629,0.12370221063397832,0.12370221063397832,45,27,18,60.0,1.5263452232528458,2.84421059173412,20.916422736349258,39.713110397869436,43.75275113197997,25,20,3,42
V27_2025_DEVELOPMENT-HIGH-NATIVE,V27_2025_DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,10252.497790858668,252.49779085867098,617.9008561955096,-365.4030653368386,1.6910116931446966,5.611062019081578,0.11158435420016333,0.11158435420016333,45,26,19,57.77777777777777,1.5854943072203993,2.5604922597565416,22.97393124893061,43.40117274461824,45.27149408498967,25,20,3,42
V27_2025_DEVELOPMENT-STRESS-NATIVE,V27_2025_DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,10224.598909674016,224.59890967400858,600.7340763191916,-376.13516664518295,1.5971228685614445,4.991086881644635,0.09946649776634832,0.09946649776634832,45,26,19,57.77777777777777,1.6446128148183876,2.277535972098299,25.5359689960725,47.99373001741956,47.15822612545793,25,20,3,42
V27_2026_PRESEAL_DEVELOPMENT-NORMAL-NATIVE,V27_2026_PRESEAL_DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,9733.282159627202,-266.717840372802,393.1523609621438,-659.8702013349458,0.5958025686972676,-5.556621674433376,-0.11188522078346769,-0.11188522078346769,48,18,30,37.5,3.2171425876472113,-4.633168699049229,,,,28,20,6,42
V27_2026_PRESEAL_DEVELOPMENT-HIGH-NATIVE,V27_2026_PRESEAL_DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,9703.691943241269,-296.3080567587321,379.44727763619994,-675.755334394932,0.5615157710533727,-6.173084515806919,-0.12456779014903342,-0.12456779014903342,48,18,30,37.5,3.507175373736459,-5.141348048523464,,,,28,20,6,42
V27_2026_PRESEAL_DEVELOPMENT-STRESS-NATIVE,V27_2026_PRESEAL_DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,9674.189399647183,-325.81060035281325,365.78646801110636,-691.5970683639196,0.5289011257326917,-6.787720840683609,-0.13725035951459916,-0.13725035951459916,48,18,30,37.5,3.7963615448613957,-5.646858573570556,,,,28,20,6,42
V27_2025_DEVELOPMENT-NORMAL-DELAY200,V27_2025_DEVELOPMENT,NORMAL,FIXED_DELAY_200_MS,10000.0,10278.440529759164,278.4405297591635,633.5498903732043,-355.1093606140408,1.7840979727419615,6.187567327981411,0.12282132761315236,0.12282132761315236,45,27,18,60.0,1.5297012135282788,2.823618539710071,21.02715341316938,39.97622418004542,43.650918022367776,25,20,3,42
V27_2025_DEVELOPMENT-HIGH-DELAY200,V27_2025_DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,10000.0,10249.191583831556,249.19158383155977,615.0080132045721,-365.81642937301234,1.6811929804756427,5.53759075181244,0.1101464329483058,0.1101464329483058,45,26,19,57.77777777777777,1.5919240911575834,2.526959457499567,23.22990052942829,43.9252629044591,45.15651086010228,25,20,3,42
V27_2025_DEVELOPMENT-STRESS-DELAY200,V27_2025_DEVELOPMENT,STRESS,FIXED_DELAY_200_MS,10000.0,10220.023630117885,220.02363011788745,596.8513876909994,-376.827757573112,1.5838838187900701,4.889414002619721,0.09747153828345921,0.09747153828345921,45,26,19,57.77777777777777,1.6541131171059036,2.2311335526748577,26.009281015660342,48.908125737415084,47.05122741948082,25,20,3,42
V27_2026_PRESEAL_DEVELOPMENT-NORMAL-DELAY200,V27_2026_PRESEAL_DEVELOPMENT,NORMAL,FIXED_DELAY_200_MS,10000.0,9733.711155057084,-266.28884494291714,393.1626731225402,-659.4515180654573,0.5961964789707479,-5.547684269644107,-0.11170228390649195,-0.11170228390649195,48,18,30,37.5,3.211978682359256,-4.625792587794919,,,,28,20,6,42
V27_2026_PRESEAL_DEVELOPMENT-HIGH-DELAY200,V27_2026_PRESEAL_DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,10000.0,9703.515392680221,-296.4846073197745,379.1681274698354,-675.6527347896099,0.5611878823933182,-6.176762652495302,-0.12464434238613965,-0.12464434238613965,48,18,30,37.5,3.507587750357906,-5.144376604444356,,,,28,20,6,42
V27_2026_PRESEAL_DEVELOPMENT-STRESS-DELAY200,V27_2026_PRESEAL_DEVELOPMENT,STRESS,FIXED_DELAY_200_MS,10000.0,9673.410915830085,-326.5890841699182,365.2197648883647,-691.8088490582829,0.5279200539072549,-6.803939253539962,-0.13758640086578736,-0.13758640086578736,48,18,30,37.5,3.8023174893901364,-5.660181747804149,,,,28,20,6,42
