run_id,dataset,cost_profile,execution_layer,position_identifier,symbol,direction,entry_time,exit_time,entry_price,exit_price,volume,initial_risk_amount,native_deal_net_before_external_commission,native_tester_commission,external_commission_adjustment,native_trade_net,spread_cost,swap_cost,fee_cost,adverse_entry_slippage_cost,adverse_exit_slippage_cost,native_friction,supplementary_multiplier,supplementary_charge,adjusted_trade_net,adjusted_net_R,exit_reason,holding_seconds,synthetic_equity_before,synthetic_cash_flow,synthetic_equity_after
01-v27-2025-development-native,V27_2025_DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,4,AUDUSD,BUY,2025.02.03 02:05:00,2025.02.07 23:55:00,0.61475,0.62696,0.02,33.66,24.19,0.0,0.12,24.07,0.3,0.23,0.0,0,0,0.65,0.0,0.0,24.07,0.7150920974450387,FRIDAY_TIME_EXIT,424200.0,10000.0,35.75460487225193,10035.754604872252
01-v27-2025-development-native,V27_2025_DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,2,EURUSD,BUY,2025.02.03 02:05:00,2025.02.07 23:55:00,1.02607,1.03252,0.01,25.17,5.86,0.0,0.06,5.800000000000001,0.16,0.59,0.0,0,0,0.8099999999999999,0.0,0.0,5.800000000000001,0.2304330552244736,FRIDAY_TIME_EXIT,424200.0,10035.754604872252,11.562847975418965,10047.317452847672
01-v27-2025-development-native,V27_2025_DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,3,GBPUSD,BUY,2025.02.03 02:05:00,2025.02.07 23:55:00,1.23045,1.23984,0.01,31.37,9.22,0.0,0.06,9.16,0.18,0.17,0.0,0,0,0.41000000000000003,0.0,0.0,9.16,0.29199872489639783,FRIDAY_TIME_EXIT,424200.0,10047.317452847672,14.669019424304219,10061.986472271976
01-v27-2025-development-native,V27_2025_DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,8,EURUSD,BUY,2025.02.10 02:05:00,2025.02.17 00:03:04,1.0317,1.04848,0.01,26.02,16.09,0.0,0.06,16.03,0.11,0.69,0.0,0,0,0.8599999999999999,0.0,0.0,16.03,0.616064565718678,FRIDAY_TIME_EXIT,597484.0,10061.986472271976,30.994166631537237,10092.980638903513
01-v27-2025-development-native,V27_2025_DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,9,GBPUSD,BUY,2025.02.10 02:05:00,2025.02.17 00:03:12,1.23971,1.25843,0.01,32.55,18.52,0.0,0.06,18.46,0.18,0.2,0.0,0,0,0.44,0.0,0.0,18.46,0.5671274961597543,FRIDAY_TIME_EXIT,597492.0,10092.980638903513,28.620034192651136,10121.600673096164
01-v27-2025-development-native,V27_2025_DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,12,EURUSD,SELL,2025.03.03 02:05:00,2025.03.04 22:17:50,1.04022,1.06178,0.02,43.04,-43.029999999999994,0.0,0.12,-43.14999999999999,0.24,0.09,0.0,0,0.0,0.44999999999999996,0.0,0.0,-43.14999999999999,-1.0025557620817842,STOP_LOSS_EXIT,159170.0,10121.600673096164,-50.73734538151712,10070.863327714645
01-v27-2025-development-native,V27_2025_DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,18,USDCHF,BUY,2025.04.07 02:05:00,2025.04.10 18:23:07,0.85221,0.8297,0.01,26.2543278,-26.779999999999998,0.0,0.06,-26.839999999999996,0.18774715152368548,0.35,0.0,0,0.0,0.5977471515236854,0.0,0.0,-26.839999999999996,-1.0223076440753511,STOP_LOSS_EXIT,317887.0,10070.863327714645,-51.477602811804054,10019.38572490284
01-v27-2025-development-native,V27_2025_DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,16,AUDUSD,BUY,2025.04.07 02:05:00,2025.04.11 23:58:00,0.60009,0.62858,0.01,25.32,28.38,0.0,0.06,28.32,0.12,0.11,0.0,0,0,0.29,0.0,0.0,28.32,1.1184834123222749,FRIDAY_TIME_EXIT,424380.0,10019.38572490284,56.032583674812095,10075.418308577653
01-v27-2025-development-native,V27_2025_DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,14,EURUSD,BUY,2025.04.07 02:05:00,2025.04.11 23:58:00,1.0988,1.13533,0.01,31.22,35.94,0.0,0.06,35.879999999999995,0.14,0.59,0.0,0,0,0.79,0.0,0.0,35.879999999999995,1.1492632927610504,FRIDAY_TIME_EXIT,424380.0,10075.418308577653,57.896542106304636,10133.314850683957
01-v27-2025-development-native,V27_2025_DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,15,GBPUSD,BUY,2025.04.07 02:05:00,2025.04.11 23:58:00,1.28877,1.30782,0.01,30.83,18.88,0.0,0.06,18.82,0.15,0.17,0.0,0,0,0.38,0.0,0.0,18.82,0.61044437236458,FRIDAY_TIME_EXIT,424380.0,10133.314850683957,30.929125119992232,10164.243975803949
