schema,time,segment_id,record_type,signal_bar_time,position_identifier,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,exit_reason,fill_confirmed
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.07 12:00:00,V1,ENTRY_ATTEMPT,2025.07.07 11:00:00,0,SELL,1.1723600000,0.0000000000,12,0.0000,0.10000000,24.40000000,1.1748000000,2,2,10009,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.07 13:00:00,V1,EXIT_ATTEMPT,2025.07.07 12:00:00,2,SELL,0.0000000000,0.0000000000,0,0.0000,0.10000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.07 14:00:00,V1,EXIT_ATTEMPT,2025.07.07 13:00:00,2,SELL,0.0000000000,0.0000000000,0,0.0000,0.10000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.07 15:00:00,V1,EXIT_ATTEMPT,2025.07.07 14:00:00,2,SELL,0.0000000000,0.0000000000,0,0.0000,0.10000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.07 16:00:00,V1,EXIT_ATTEMPT,2025.07.07 15:00:00,2,SELL,0.0000000000,0.0000000000,0,0.0000,0.10000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.07 17:00:00,V1,EXIT_ATTEMPT,2025.07.07 16:00:00,2,SELL,0.0000000000,0.0000000000,0,0.0000,0.10000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.07 18:00:00,V1,EXIT_ATTEMPT,2025.07.07 17:00:00,2,SELL,0.0000000000,0.0000000000,0,0.0000,0.10000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.07 19:00:00,V1,EXIT_ATTEMPT,2025.07.07 18:00:00,2,SELL,0.0000000000,0.0000000000,0,0.0000,0.10000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.07 20:00:00,V1,EXIT_ATTEMPT,2025.07.07 19:00:00,2,SELL,0.0000000000,0.0000000000,0,0.0000,0.10000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.07 20:00:00,V1,ENTRY_ATTEMPT,2025.07.07 19:00:00,0,SELL,0.0000000000,0.0000000000,13,0.0000,0.00000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.07 21:00:00,V1,EXIT_ATTEMPT,2025.07.07 20:00:00,2,SELL,0.0000000000,0.0000000000,0,0.0000,0.10000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.07 22:00:00,V1,EXIT_ATTEMPT,2025.07.07 21:00:00,2,SELL,0.0000000000,0.0000000000,0,0.0000,0.10000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.07 23:00:00,V1,EXIT_ATTEMPT,2025.07.07 22:00:00,2,SELL,0.0000000000,0.0000000000,0,0.0000,0.10000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.08 00:00:00,V1,EXIT_ATTEMPT,2025.07.07 23:00:00,2,SELL,0.0000000000,0.0000000000,0,0.0000,0.10000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.08 01:00:00,V1,EXIT_ATTEMPT,2025.07.08 00:00:00,2,SELL,0.0000000000,0.0000000000,0,0.0000,0.10000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.08 02:00:00,V1,EXIT_ATTEMPT,2025.07.08 01:00:00,2,SELL,0.0000000000,0.0000000000,0,0.0000,0.10000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.08 03:00:00,V1,EXIT_ATTEMPT,2025.07.08 02:00:00,2,SELL,0.0000000000,0.0000000000,0,0.0000,0.10000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.08 03:43:57,V1,EXIT_TRANSACTION,NONE,2,SELL,0.0000000000,1.1748200000,0,0.0000,0.10000000,0.00000000,0.0000000000,3,3,0,STOP_LOSS_EXIT,YES
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.08 11:00:00,V1,ENTRY_ATTEMPT,2025.07.08 10:00:00,0,BUY,1.1760600000,0.0000000000,11,0.0000,0.08000000,23.36000000,1.1731400000,4,4,10009,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.08 12:00:00,V1,EXIT_ATTEMPT,2025.07.08 11:00:00,4,BUY,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.08 13:00:00,V1,EXIT_ATTEMPT,2025.07.08 12:00:00,4,BUY,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.07.08 13:29:00,V1,EXIT_TRANSACTION,NONE,4,BUY,0.0000000000,1.1731400000,0,0.0000,0.08000000,0.00000000,0.0000000000,5,5,0,STOP_LOSS_EXIT,YES
