field,value
classification,NO_OPEN_POSITION_AT_CUTOFF
eligible_to,2026.04.09 00:00:00
observation_time,2026.04.08 23:59:58
position_open,NO
position_ticket,34
position_identifier,34
position_type,0
volume,0.09000000
entry_price,1.1572500000
stop_loss,1.1546000000
unrealized_result_reporting_only,68.52000000
formal_pnl_included,NO
naturally_closed_trade_included,NO
