cell_id,dataset,cost_profile,execution_layer,initial_synthetic_equity,final_synthetic_equity,adjusted_net_profit,gross_profit,gross_loss,profit_factor,expectancy_usd,expectancy_R,normalized_expectancy_R,naturally_closed_trades,winning_trades,losing_trades,win_rate_percent,relative_drawdown_percent,annualized_return_percent,best_trade_contribution_percent,best_currency_contribution_percent,best_registered_subperiod_contribution_percent,buy_trades,sell_trades,stop_loss_exits,time_exits
V28_2025_DEVELOPMENT-NORMAL-NATIVE,V28_2025_DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,10492.11891769345,492.1189176934587,1598.10410217118,-1105.9851844777213,1.4449597739646503,7.030270252763695,0.13941815751680559,0.13941815751680559,70,38,32,54.285714285714285,4.432586657910742,4.991217269564374,29.68400858762706,35.31853314516043,153.67971874396574,36,34,16,54
V28_2025_DEVELOPMENT-HIGH-NATIVE,V28_2025_DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,10349.1731302844,349.17313028439804,1507.722780059464,-1158.549649775066,1.3013881453869418,4.9881875754914,0.10017636173415888,0.10017636173415888,70,36,34,51.42857142857142,4.789668339321543,3.5410763247124555,40.01259344317158,42.49362705371427,205.44611933186837,36,34,16,54
V28_2025_DEVELOPMENT-STRESS-NATIVE,V28_2025_DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,10208.133329783519,208.13332978351247,1424.1242318173474,-1215.990902033835,1.17116355840771,2.973333282621607,0.06093456595151218,0.06093456595151218,70,36,34,51.42857142857142,5.145548922919966,2.110543647296259,64.08157460450552,59.2219722261366,326.06571626458407,36,34,16,54
V28_2026_PRESEAL_DEVELOPMENT-NORMAL-NATIVE,V28_2026_PRESEAL_DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,10257.613798011598,257.6137980115924,992.4921510376291,-734.8783530260368,1.3505529819334126,7.360394228902639,0.1485638631016054,0.1485638631016054,35,15,20,42.857142857142854,6.174049195718751,4.564486477300855,48.032859759690744,59.93210105261666,203.43258720865217,18,17,11,24
V28_2026_PRESEAL_DEVELOPMENT-HIGH-NATIVE,V28_2026_PRESEAL_DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,10180.132519510691,180.1325195106944,949.9869211062725,-769.854401595578,1.2339825805208842,5.146643414591269,0.10516277518998507,0.10516277518998507,35,15,20,42.857142857142854,6.535585931096902,3.1824370401229984,67.02927334629761,83.23882808613764,280.80977624400737,18,17,11,24
V28_2026_PRESEAL_DEVELOPMENT-STRESS-NATIVE,V28_2026_PRESEAL_DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,10103.210380755152,103.21038075515203,907.7609797534652,-804.5505989983133,1.1282832688008082,2.9488680215757723,0.061761687278364744,0.061761687278364744,35,15,20,42.857142857142854,6.8958314528169415,1.8181925347372063,114.11397514687307,140.98442915899494,472.63462085585684,18,17,11,24
V28_2025_DEVELOPMENT-NORMAL-DELAY200,V28_2025_DEVELOPMENT,NORMAL,FIXED_DELAY_200_MS,10000.0,10491.509730330768,491.5097303307668,1598.5984173408385,-1107.0886870100717,1.4439659948636936,7.021567576153811,0.13925410911537892,0.13925410911537892,70,38,32,54.285714285714285,4.434802954890146,4.985036666671716,29.728192450280165,35.35784181785586,153.8868055394492,36,34,16,54
V28_2025_DEVELOPMENT-HIGH-DELAY200,V28_2025_DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,10000.0,10347.140300820964,347.14030082097077,1507.1505059963558,-1160.010205175385,1.299256247291795,4.959147154585296,0.09961684689257659,0.09961684689257659,70,36,34,51.42857142857142,4.793433512217479,3.5204558935998165,40.253955967316244,42.72194115059106,206.57641537062938,36,34,16,54
V28_2025_DEVELOPMENT-STRESS-DELAY200,V28_2025_DEVELOPMENT,STRESS,FIXED_DELAY_200_MS,10000.0,10204.715571842416,204.7155718424135,1422.746157466934,-1218.0305856245204,1.1680709616478553,2.924508169177336,0.05997958466977422,0.05997958466977422,70,36,34,51.42857142857142,5.150852043924405,2.075881544212077,65.15815766366077,60.15360680608166,331.226826314645,36,34,16,54
V28_2026_PRESEAL_DEVELOPMENT-NORMAL-DELAY200,V28_2026_PRESEAL_DEVELOPMENT,NORMAL,FIXED_DELAY_200_MS,10000.0,10258.790119596242,258.790119596238,992.457345822217,-733.667226225979,1.3527350143844743,7.394003417035372,0.14921789689257858,0.14921789689257858,35,15,20,42.857142857142854,6.160953776314904,4.585529700247193,47.81928380931998,60.0154554998675,202.60788220884996,18,17,11,24
V28_2026_PRESEAL_DEVELOPMENT-HIGH-DELAY200,V28_2026_PRESEAL_DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,10000.0,10180.765157163085,180.7651571630872,949.5532614791305,-768.7881043160434,1.235130013261464,5.164718776088206,0.10551600346813768,0.10551600346813768,35,15,20,42.857142857142854,6.5246946095908465,3.1936894903552338,66.79791271312104,83.4004752345468,279.93888972813943,18,17,11,24
V28_2026_PRESEAL_DEVELOPMENT-STRESS-DELAY200,V28_2026_PRESEAL_DEVELOPMENT,STRESS,FIXED_DELAY_200_MS,10000.0,10103.307118227194,103.30711822719579,906.9324905736365,-803.6253723464407,1.1285513396939644,2.951631949348451,0.06181411004369669,0.06181411004369669,35,15,20,42.857142857142854,6.887128396427461,1.8199033055009695,114.00678999917835,141.54787115360693,472.3352587286717,18,17,11,24
