schema,time,dataset,execution_layer,canonical_symbol,resolved_symbol,event_type,reason_code,details,dry_run
SOLTRADE_V28_EVENT_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDJPY,USDJPY,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction,NO
SOLTRADE_V28_EVENT_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,GBPUSD,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=3,NO
SOLTRADE_V28_EVENT_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,AUDUSD,AUDUSD,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=4,NO
SOLTRADE_V28_EVENT_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,NZDUSD,NZDUSD,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=5,NO
SOLTRADE_V28_EVENT_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCAD,USDCAD,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=6,NO
SOLTRADE_V28_EVENT_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCHF,USDCHF,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=7,NO
SOLTRADE_V28_EVENT_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDJPY,USDJPY,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=8,NO
SOLTRADE_V28_EVENT_V1,2025.02.03 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,EURUSD,EURUSD,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed,NO
SOLTRADE_V28_EVENT_V1,2025.02.03 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,GBPUSD,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed,NO
SOLTRADE_V28_EVENT_V1,2025.02.03 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,AUDUSD,AUDUSD,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed,NO
SOLTRADE_V28_EVENT_V1,2025.02.03 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,NZDUSD,NZDUSD,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed,NO
SOLTRADE_V28_EVENT_V1,2025.02.03 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCAD,USDCAD,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed,NO
