schema,time,dataset,execution_layer,symbol,record_type,signal_time,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,fill_confirmed,atr_or_exit_reason
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2025.01.20 10:05:00,V29_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCHF,EXIT_ATTEMPT,2025.01.20 10:05:00,BUY,0.9123400000,0.0000000000,0,0.0000,0.01000000,0,0,10,10,10009,NO,CROSS_SECTIONAL_WEEKLY_REBALANCE
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2025.01.20 10:05:00,V29_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDJPY,EXIT_ATTEMPT,2025.01.20 10:05:00,SELL,156.0130000000,0.0000000000,0,0.0000,0.01000000,0,0,11,11,10009,NO,CROSS_SECTIONAL_WEEKLY_REBALANCE
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2025.01.20 10:05:00,V29_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCAD,EXIT_TRANSACTION,NONE,SELL,1.4448800000,1.4448800000,0,0.0000,0.01000000,0,0,9,9,10009,YES,CROSS_SECTIONAL_WEEKLY_REBALANCE
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2025.01.20 10:05:00,V29_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCHF,EXIT_TRANSACTION,NONE,BUY,0.9123400000,0.9123400000,0,0.0000,0.01000000,0,0,10,10,10009,YES,CROSS_SECTIONAL_WEEKLY_REBALANCE
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2025.01.20 10:05:00,V29_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDJPY,EXIT_TRANSACTION,NONE,SELL,156.0130000000,156.0130000000,0,0.0000,0.01000000,0,0,11,11,10009,YES,CROSS_SECTIONAL_WEEKLY_REBALANCE
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2025.01.20 10:05:01,V29_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,ENTRY_ATTEMPT,2025.01.20 10:05:00,SELL,0.0000000000,0.0000000000,11,0.0000,0.00000000,0.00000000,0.0000000000,0,0,0,NO,0.011710000000
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2025.01.20 10:05:01,V29_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,AUDUSD,ENTRY_ATTEMPT,2025.01.20 10:05:00,BUY,0.0000000000,0.0000000000,13,0.0000,0.00000000,0.00000000,0.0000000000,0,0,0,NO,0.005482857143
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2025.01.20 10:05:01,V29_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCHF,ENTRY_ATTEMPT,2025.01.20 10:05:00,BUY,0.0000000000,0.0000000000,14,0.0000,0.00000000,0.00000000,0.0000000000,0,0,0,NO,0.006214285714
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2025.01.20 10:05:01,V29_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDJPY,ENTRY_ATTEMPT,2025.01.20 10:05:00,SELL,0.0000000000,0.0000000000,15,0.0000,0.00000000,0.00000000,0.0000000000,0,0,0,NO,1.297285714286
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2025.01.27 10:05:00,V29_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,EURUSD,ENTRY_ATTEMPT,2025.01.27 10:05:00,BUY,1.0464600000,0.0000000000,11,0.0000,0.00000000,0.00000000,1.0212200000,0,0,0,NO,0.008411428571
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2025.01.27 10:05:00,V29_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,ENTRY_ATTEMPT,2025.01.27 10:05:00,SELL,1.2438000000,0.0000000000,17,0.0000,0.00000000,0.00000000,1.2802400000,0,0,0,NO,0.012143571429
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2025.01.27 10:05:00,V29_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCAD,ENTRY_ATTEMPT,2025.01.27 10:05:00,BUY,1.4393200000,0.0000000000,15,0.0000,0.01000000,19.78875384,1.4107300000,12,12,10009,NO,0.009527857143
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2025.01.27 10:05:00,V29_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDJPY,ENTRY_ATTEMPT,2025.01.27 10:05:00,SELL,155.7190000000,0.0000000000,13,0.0000,0.01000000,24.91698612,159.6060000000,13,13,10009,NO,1.295571428571
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2025.01.27 10:05:00,V29_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCAD,ENTRY_TRANSACTION,NONE,BUY,1.4393200000,1.4393200000,15,0.0000,0.01000000,19.78875384,1.4107300000,12,12,10009,YES,0.000000000000
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2025.01.27 10:05:00,V29_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDJPY,ENTRY_TRANSACTION,NONE,SELL,155.7190000000,155.7190000000,13,0.0000,0.01000000,24.91698612,159.6060000000,13,13,10009,YES,0.000000000000
