schema,symbol,previous_tick,current_tick,gap_seconds
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.06.30 23:57:59,2023.07.03 00:04:09,173170
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.07.07 23:57:59,2023.07.10 00:04:48,173209
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.07.14 23:57:58,2023.07.17 00:04:03,173165
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.07.21 23:57:36,2023.07.24 00:05:02,173246
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.07.28 23:57:59,2023.07.31 00:04:04,173165
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.08.04 23:57:51,2023.08.07 00:05:06,173235
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.08.11 23:57:50,2023.08.14 00:10:01,173531
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.08.18 23:57:51,2023.08.21 00:04:04,173173
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.08.25 23:57:52,2023.08.28 00:00:14,172942
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.09.01 23:57:59,2023.09.04 00:00:05,172926
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.09.08 23:57:53,2023.09.11 00:00:08,172935
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.09.15 23:57:53,2023.09.18 00:00:09,172936
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.09.22 23:57:59,2023.09.25 00:00:06,172927
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.09.29 23:57:57,2023.10.02 00:00:03,172926
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.10.06 23:57:59,2023.10.09 00:00:04,172925
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.10.13 23:57:59,2023.10.16 00:00:06,172927
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.10.20 23:57:53,2023.10.23 00:00:09,172936
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.10.27 23:57:59,2023.10.30 00:00:05,172926
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.11.03 23:57:30,2023.11.06 00:00:03,172953
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.11.10 23:57:23,2023.11.13 00:00:03,172960
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.11.17 23:57:24,2023.11.20 00:00:02,172958
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.11.24 23:57:18,2023.11.27 00:00:04,172966
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.12.01 23:57:58,2023.12.04 00:00:06,172928
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.12.08 23:57:59,2023.12.11 00:00:01,172922
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.12.15 23:57:59,2023.12.18 00:00:04,172925
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.12.22 23:57:59,2023.12.27 00:00:07,345728
SOLTRADE_PHASE6_V30C_GAP_V1,USDCHF,2023.12.27 02:04:33,2023.12.27 04:09:03,7470
