deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,canonical_symbol,resolved_symbol,comment,in_research_window
33,33,33,2025.05.05 10:05:00,1746439500008,0,0,3,0.02000000,0.5969700000,0.00000000,0.00000000,0.00000000,0.00000000,2808202604,NZDUSD,NZDUSD,SolTrade TBV1,YES
34,34,34,2025.05.05 10:05:00,1746439500008,0,1,3,0.03000000,1.3816300000,0.00000000,0.00000000,0.00000000,0.00000000,2808202605,USDCAD,USDCAD,SolTrade TBV1,YES
35,35,35,2025.05.05 10:05:00,1746439500008,0,1,3,0.01000000,0.8265600000,0.00000000,0.00000000,0.00000000,0.00000000,2808202606,USDCHF,USDCHF,SolTrade TBV1,YES
36,36,36,2025.05.05 10:05:00,1746439500008,0,1,3,0.01000000,144.3430000000,0.00000000,0.00000000,0.00000000,0.00000000,2808202607,USDJPY,USDJPY,SolTrade TBV1,YES
37,37,30,2025.06.02 10:05:00,1748858700273,1,1,3,0.01000000,1.1405700000,8.33000000,0.00000000,-2.76000000,0.00000000,2808202601,EURUSD,EURUSD,SolTrade TBV1 exit,YES
38,38,31,2025.06.02 10:05:00,1748858700273,1,1,3,0.01000000,1.3534400000,25.68000000,0.00000000,-0.80000000,0.00000000,2808202602,GBPUSD,GBPUSD,SolTrade TBV1 exit,YES
39,39,32,2025.06.02 10:05:00,1748858700273,1,1,3,0.02000000,0.6471600000,0.70000000,0.00000000,-1.08000000,0.00000000,2808202603,AUDUSD,AUDUSD,SolTrade TBV1 exit,YES
40,40,33,2025.06.02 10:05:00,1748858700273,1,1,3,0.02000000,0.6008500000,7.76000000,0.00000000,-1.64000000,0.00000000,2808202604,NZDUSD,NZDUSD,SolTrade TBV1 exit,YES
41,41,34,2025.06.02 10:05:00,1748858700273,1,0,3,0.03000000,1.3695900000,26.37000000,0.00000000,-5.56000000,0.00000000,2808202605,USDCAD,USDCAD,SolTrade TBV1 exit,YES
42,42,35,2025.06.02 10:05:00,1748858700273,1,0,3,0.01000000,0.8196500000,8.43000000,0.00000000,-3.91000000,0.00000000,2808202606,USDCHF,USDCHF,SolTrade TBV1 exit,YES
43,43,36,2025.06.02 10:05:00,1748858700273,1,0,3,0.01000000,143.2230000000,7.82000000,0.00000000,-3.66000000,0.00000000,2808202607,USDJPY,USDJPY,SolTrade TBV1 exit,YES
44,44,44,2025.07.07 10:05:00,1751882700403,0,0,3,0.02000000,1.1755400000,0.00000000,0.00000000,0.00000000,0.00000000,2808202601,EURUSD,EURUSD,SolTrade TBV1,YES
45,45,45,2025.07.07 10:05:00,1751882700403,0,0,3,0.01000000,1.3617000000,0.00000000,0.00000000,0.00000000,0.00000000,2808202602,GBPUSD,GBPUSD,SolTrade TBV1,YES
46,46,46,2025.07.07 10:05:00,1751882700403,0,0,3,0.03000000,0.6510300000,0.00000000,0.00000000,0.00000000,0.00000000,2808202603,AUDUSD,AUDUSD,SolTrade TBV1,YES
47,47,47,2025.07.07 10:05:00,1751882700403,0,0,3,0.02000000,0.6013300000,0.00000000,0.00000000,0.00000000,0.00000000,2808202604,NZDUSD,NZDUSD,SolTrade TBV1,YES
48,48,48,2025.07.07 10:05:00,1751882700403,0,1,3,0.03000000,1.3646400000,0.00000000,0.00000000,0.00000000,0.00000000,2808202605,USDCAD,USDCAD,SolTrade TBV1,YES
49,49,49,2025.07.07 10:05:00,1751882700403,0,1,3,0.02000000,0.7951900000,0.00000000,0.00000000,0.00000000,0.00000000,2808202606,USDCHF,USDCHF,SolTrade TBV1,YES
50,50,50,2025.07.07 10:05:00,1751882700403,0,1,3,0.02000000,145.0160000000,0.00000000,0.00000000,0.00000000,0.00000000,2808202607,USDJPY,USDJPY,SolTrade TBV1,YES
51,51,50,2025.07.15 17:01:07,1752598867170,1,0,4,0.02000000,148.7560000000,-50.28000000,0.00000000,-2.08000000,0.00000000,2808202607,USDJPY,USDJPY,sl 148.756,YES
52,52,44,2025.07.29 10:10:28,1753783828151,1,1,4,0.02000000,1.1526000000,-45.88000000,0.00000000,-4.21000000,0.00000000,2808202601,EURUSD,EURUSD,sl 1.15261,YES
53,53,45,2025.07.29 16:14:22,1753805662622,1,1,4,0.01000000,1.3307100000,-30.99000000,0.00000000,-0.63000000,0.00000000,2808202602,GBPUSD,GBPUSD,sl 1.33073,YES
54,54,49,2025.07.30 22:20:33,1753914033654,1,0,4,0.02000000,0.8142000000,-46.70000000,0.00000000,-6.69000000,0.00000000,2808202606,USDCHF,USDCHF,sl 0.81415,YES
55,55,46,2025.08.04 10:05:00,1754301900483,1,1,3,0.03000000,0.6472500000,-11.34000000,0.00000000,-1.44000000,0.00000000,2808202603,AUDUSD,AUDUSD,SolTrade TBV1 exit,YES
56,56,47,2025.08.04 10:05:00,1754301900483,1,1,3,0.02000000,0.5905300000,-21.60000000,0.00000000,-1.64000000,0.00000000,2808202604,NZDUSD,NZDUSD,SolTrade TBV1 exit,YES
57,57,48,2025.08.04 10:05:00,1754301900483,1,0,3,0.03000000,1.3784600000,-30.08000000,0.00000000,-5.59000000,0.00000000,2808202605,USDCAD,USDCAD,SolTrade TBV1 exit,YES
58,58,58,2025.09.01 10:05:00,1756721100146,0,0,3,0.02000000,1.1725400000,0.00000000,0.00000000,0.00000000,0.00000000,2808202601,EURUSD,EURUSD,SolTrade TBV1,YES
59,59,59,2025.09.01 10:05:00,1756721100146,0,0,3,0.02000000,1.3533900000,0.00000000,0.00000000,0.00000000,0.00000000,2808202602,GBPUSD,GBPUSD,SolTrade TBV1,YES
60,60,60,2025.09.01 10:05:00,1756721100146,0,0,3,0.03000000,0.6543900000,0.00000000,0.00000000,0.00000000,0.00000000,2808202603,AUDUSD,AUDUSD,SolTrade TBV1,YES
61,61,61,2025.09.01 10:05:00,1756721100146,0,0,3,0.03000000,0.5897500000,0.00000000,0.00000000,0.00000000,0.00000000,2808202604,NZDUSD,NZDUSD,SolTrade TBV1,YES
62,62,62,2025.09.01 10:05:00,1756721100146,0,1,3,0.04000000,1.3747600000,0.00000000,0.00000000,0.00000000,0.00000000,2808202605,USDCAD,USDCAD,SolTrade TBV1,YES
63,63,63,2025.09.01 10:05:00,1756721100146,0,1,3,0.02000000,0.7992100000,0.00000000,0.00000000,0.00000000,0.00000000,2808202606,USDCHF,USDCHF,SolTrade TBV1,YES
64,64,64,2025.09.01 10:05:00,1756721100146,0,1,3,0.02000000,146.9660000000,0.00000000,0.00000000,0.00000000,0.00000000,2808202607,USDJPY,USDJPY,SolTrade TBV1,YES
65,65,62,2025.09.25 15:52:27,1758815547480,1,0,4,0.04000000,1.3913900000,-47.81000000,0.00000000,-6.80000000,0.00000000,2808202605,USDCAD,USDCAD,sl 1.39139,YES
66,66,64,2025.10.06 07:37:36,1759736256016,1,0,4,0.02000000,150.2620000000,-43.87000000,0.00000000,-9.02000000,0.00000000,2808202607,USDJPY,USDJPY,sl 150.260,YES
67,67,58,2025.10.06 10:05:00,1759745100332,1,1,3,0.02000000,1.1697800000,-5.52000000,0.00000000,-6.70000000,0.00000000,2808202601,EURUSD,EURUSD,SolTrade TBV1 exit,YES
68,68,59,2025.10.06 10:05:00,1759745100332,1,1,3,0.02000000,1.3447200000,-17.34000000,0.00000000,-1.80000000,0.00000000,2808202602,GBPUSD,GBPUSD,SolTrade TBV1 exit,YES
69,69,60,2025.10.06 10:05:00,1759745100332,1,1,3,0.03000000,0.6611700000,20.34000000,0.00000000,-1.80000000,0.00000000,2808202603,AUDUSD,AUDUSD,SolTrade TBV1 exit,YES
