run_id,segment,formal_dataset,cost_profile,execution_layer,position_identifier,direction,entry_time,exit_time,entry_price,exit_price,volume,initial_risk_amount,native_deal_net_before_external_commission,native_tester_commission,external_commission_adjustment,native_trade_net,spread_cost,swap_cost,fee_cost,adverse_entry_slippage_cost,adverse_exit_slippage_cost,native_friction,supplementary_multiplier,supplementary_charge,adjusted_trade_net,adjusted_net_R,exit_reason,holding_seconds,synthetic_equity_before,synthetic_cash_flow,synthetic_equity_after
001-2025-s1-normal-native,2025_S1,V25_2025_DEVELOPMENT_REUSE,NORMAL,NATIVE_NORMAL_EXECUTION,2,BUY,2025.01.20 18:05:00,2025.01.20 19:25:05,1.04009,1.03555,0.05,22.35,-22.7,0.0,0.30000000000000004,-23.0,0.55,0.0,0.0,0.0,0.0,0.8500000000000001,0.0,0.0,-23.0,-1.029082774049217,STOP_LOSS_EXIT,4805.0,10000.0,-25.727069351230426,9974.272930648769
001-2025-s1-normal-native,2025_S1,V25_2025_DEVELOPMENT_REUSE,NORMAL,NATIVE_NORMAL_EXECUTION,4,BUY,2025.01.21 18:05:00,2025.01.21 22:05:00,1.04032,1.04163,0.05,22.7,6.55,0.0,0.30000000000000004,6.25,0.55,0.0,0.0,0.0,0.0,0.8500000000000001,0.0,0.0,6.25,0.27533039647577096,FIXING_REVERSAL_TIME_EXIT,14400.0,9974.272930648769,6.8655513013826885,9981.13848195015
001-2025-s1-normal-native,2025_S1,V25_2025_DEVELOPMENT_REUSE,NORMAL,NATIVE_NORMAL_EXECUTION,6,BUY,2025.01.22 18:05:00,2025.01.22 22:05:00,1.04199,1.04197,0.07,23.52,-0.14,0.0,0.42000000000000004,-0.56,0.77,0.0,0.0,0.0,0.0,1.19,0.0,0.0,-0.56,-0.02380952380952381,FIXING_REVERSAL_TIME_EXIT,14400.0,9981.13848195015,-0.5941153858303662,9980.54436656432
001-2025-s1-normal-native,2025_S1,V25_2025_DEVELOPMENT_REUSE,NORMAL,NATIVE_NORMAL_EXECUTION,8,BUY,2025.01.23 18:05:00,2025.01.23 18:12:12,1.03989,1.03727,0.09,23.4,-23.58,0.0,0.54,-24.119999999999997,1.08,0.0,0.0,0.0,0.0,1.62,0.0,0.0,-24.119999999999997,-1.0307692307692307,STOP_LOSS_EXIT,432.0,9980.54436656432,-25.719095098454204,9954.825271465865
001-2025-s1-normal-native,2025_S1,V25_2025_DEVELOPMENT_REUSE,NORMAL,NATIVE_NORMAL_EXECUTION,10,BUY,2025.01.24 18:05:00,2025.01.24 22:05:00,1.05168,1.04913,0.06,21.42,-15.3,0.0,0.36,-15.66,0.6599999999999999,0.0,0.0,0.0,0.0,1.02,0.0,0.0,-15.66,-0.7310924369747899,FIXING_REVERSAL_TIME_EXIT,14400.0,9954.825271465865,-18.194743668435507,9936.63052779743
001-2025-s1-normal-native,2025_S1,V25_2025_DEVELOPMENT_REUSE,NORMAL,NATIVE_NORMAL_EXECUTION,12,BUY,2025.01.27 18:05:00,2025.01.27 22:05:00,1.05028,1.04886,0.07,23.17,-9.94,0.0,0.42000000000000004,-10.36,0.77,0.0,0.0,0.0,0.0,1.19,0.0,0.0,-10.36,-0.44712990936555885,FIXING_REVERSAL_TIME_EXIT,14400.0,9936.63052779743,-11.107411768232776,9925.523116029197
001-2025-s1-normal-native,2025_S1,V25_2025_DEVELOPMENT_REUSE,NORMAL,NATIVE_NORMAL_EXECUTION,14,BUY,2025.01.28 18:05:00,2025.01.28 22:05:00,1.04279,1.04305,0.08,24.8,2.08,0.0,0.48,1.6,0.88,0.0,0.0,0.0,0.0,1.3599999999999999,0.0,0.0,1.6,0.06451612903225806,FIXING_REVERSAL_TIME_EXIT,14400.0,9925.523116029197,1.6008908251659995,9927.124006854363
001-2025-s1-normal-native,2025_S1,V25_2025_DEVELOPMENT_REUSE,NORMAL,NATIVE_NORMAL_EXECUTION,16,BUY,2025.01.29 18:05:00,2025.01.29 21:05:53,1.04225,1.03934,0.08,23.2,-23.28,0.0,0.48,-23.76,0.88,0.0,0.0,0.0,0.0,1.3599999999999999,0.0,0.0,-23.76,-1.024137931034483,STOP_LOSS_EXIT,10853.0,9927.124006854363,-25.416860603756433,9901.707146250606
001-2025-s1-normal-native,2025_S1,V25_2025_DEVELOPMENT_REUSE,NORMAL,NATIVE_NORMAL_EXECUTION,18,BUY,2025.01.30 18:05:00,2025.01.30 22:05:02,1.04287,1.04273,0.06,21.9,-0.84,0.0,0.36,-1.2,0.6599999999999999,0.0,0.0,0.0,0.0,1.02,0.0,0.0,-1.2,-0.05479452054794521,FIXING_REVERSAL_TIME_EXIT,14402.0,9901.707146250606,-1.3563982392124119,9900.350748011395
001-2025-s1-normal-native,2025_S1,V25_2025_DEVELOPMENT_REUSE,NORMAL,NATIVE_NORMAL_EXECUTION,20,BUY,2025.01.31 18:05:00,2025.01.31 22:05:00,1.03939,1.03713,0.07,24.01,-15.82,0.0,0.42000000000000004,-16.240000000000002,0.77,0.0,0.0,0.0,0.0,1.19,0.0,0.0,-16.240000000000002,-0.6763848396501458,FIXING_REVERSAL_TIME_EXIT,14400.0,9900.350748011395,-16.741117882934724,9883.60963012846
001-2025-s1-normal-native,2025_S1,V25_2025_DEVELOPMENT_REUSE,NORMAL,NATIVE_NORMAL_EXECUTION,22,BUY,2025.02.03 18:05:35,2025.02.03 22:05:00,1.03132,1.02867,0.04,24.64,-10.6,0.0,0.24,-10.84,0.44,0.0,0.0,0.0,0.0,0.6799999999999999,0.0,0.0,-10.84,-0.4399350649350649,FIXING_REVERSAL_TIME_EXIT,14365.0,9883.60963012846,-10.870366111058493,9872.739264017402
001-2025-s1-normal-native,2025_S1,V25_2025_DEVELOPMENT_REUSE,NORMAL,NATIVE_NORMAL_EXECUTION,24,BUY,2025.02.04 18:05:00,2025.02.04 22:05:01,1.03831,1.03809,0.05,21.65,-1.1,0.0,0.30000000000000004,-1.4000000000000001,0.55,0.0,0.0,0.0,0.0,0.8500000000000001,0.0,0.0,-1.4000000000000001,-0.06466512702078522,FIXING_REVERSAL_TIME_EXIT,14401.0,9872.739264017402,-1.5960548463769473,9871.143209171025
