population,dimension,group,trades,wins,losses,breakeven,win_rate_percent,adjusted_net_profit,gross_profit,gross_loss,profit_factor,average_win,average_loss,average_win_R,average_loss_R,payoff_ratio_money,payoff_ratio_R,expectancy_R,average_holding_seconds,median_holding_seconds,rapid_stop_count
NORMAL_NATIVE_REFERENCE,direction,LONG,46,16,30,0,34.78260869565217,-61.12000000000002,551.1,-612.22,0.9001666067753422,34.44375,-20.407333333333334,1.5272339949241562,-0.8720504190829582,1.6878123877037667,1.7513138707394742,-0.03751670986309228,86479.52173913043,60174.0,19
NORMAL_NATIVE_REFERENCE,direction,SHORT,48,13,35,0,27.083333333333332,-452.73,283.7,-736.4300000000001,0.3852368860584169,21.823076923076922,-21.040857142857146,0.918381779579013,-0.9013304881228642,1.0371762316957378,1.018917912664488,-0.4084917489536058,77237.5625,45000.0,24
NORMAL_NATIVE_REFERENCE,exit_reason,LONG_EXIT_BREAKOUT,25,16,9,0,64.0,456.61,551.1,-94.49,5.832363213038417,34.44375,-10.498888888888889,1.5272339949241562,-0.4515564748987517,3.28070430733411,3.3821550123195414,0.8148694257879094,126287.72,104400.0,0
NORMAL_NATIVE_REFERENCE,exit_reason,SHORT_EXIT_BREAKOUT,21,13,8,0,61.904761904761905,192.96,283.7,-90.74000000000001,3.1265153184923955,21.823076923076922,-11.342500000000001,0.918381779579013,-0.4921303567533209,1.9240094267645511,1.8661351956375039,0.381043822880981,127718.66666666667,64800.0,0
NORMAL_NATIVE_REFERENCE,exit_reason,STOP_LOSS_EXIT,48,0,48,0,0.0,-1163.42,0,-1163.42,0.0,,-24.237916666666667,,-1.035563094347368,,,-1.035563094347368,38462.0,18137.0,43
NORMAL_NATIVE_REFERENCE,outcome,LOSS,65,0,65,0,0.0,-1348.65,0,-1348.65,0.0,,-20.74846153846154,,-0.887816610104446,,,-0.887816610104446,50002.661538461536,31617.0,43
NORMAL_NATIVE_REFERENCE,outcome,WIN,29,29,0,0,100.0,834.8,834.8,0,,28.78620689655172,,1.2543002432177128,,,,1.2543002432177128,152940.9655172414,122400.0,0
NORMAL_NATIVE_REFERENCE,holding_band,1_TO_3_DAYS,20,13,7,0,65.0,409.95,538.01,-128.06,4.201233796657816,41.385384615384616,-18.294285714285714,1.7711573885272456,-0.7905653253245999,2.2622028135849783,2.2403681666660784,0.8745544386790998,140589.8,131400.0,0
NORMAL_NATIVE_REFERENCE,holding_band,6_TO_24_HOURS,39,10,29,0,25.64102564102564,-425.76,113.42,-539.1800000000001,0.21035646722801288,11.342,-18.59241379310345,0.48778872474342777,-0.7831343688006527,0.6100337549612374,0.62286721688701,-0.45725665250729874,50053.58974358974,46800.0,16
NORMAL_NATIVE_REFERENCE,holding_band,GT_3_DAYS,8,6,2,0,75.0,144.3,183.37,-39.07,4.693370872792424,30.561666666666667,-19.535,1.4119622925041995,-0.8622741698734478,1.5644569575974747,1.637486476849268,0.8434031769097876,332119.125,334800.0,0
NORMAL_NATIVE_REFERENCE,holding_band,LT_6_HOURS,27,0,27,0,0.0,-642.34,0,-642.34,0.0,,-23.790370370370372,,-1.0273584201685544,,,-1.0273584201685544,9800.814814814816,9011.0,27
NORMAL_NATIVE_REFERENCE,entry_hour,10,4,0,4,0,0.0,-85.53999999999999,0,-85.53999999999999,0.0,,-21.384999999999998,,-0.8931737978008407,,,-0.8931737978008407,24300.75,23916.5,3
NORMAL_NATIVE_REFERENCE,entry_hour,11,7,1,6,0,14.285714285714285,-52.09,74.63,-126.72,0.5889362373737373,74.63,-21.12,3.0902691511387164,-0.8973508090441142,3.533617424242424,3.443769281748981,-0.32769081473228134,45100.57142857143,22073.0,5
NORMAL_NATIVE_REFERENCE,entry_hour,12,4,2,2,0,50.0,-21.640000000000004,27.89,-49.53,0.5630930749040985,13.945,-24.765,0.6193175706808414,-1.0157928208027136,0.5630930749040985,0.6096888637108459,-0.19823762506093612,74787.0,66118.5,2
NORMAL_NATIVE_REFERENCE,entry_hour,13,3,1,2,0,33.33333333333333,-43.53,7.760000000000002,-51.290000000000006,0.1512965490348996,7.760000000000002,-25.645000000000003,0.3193415637860083,-1.0811020590646034,0.3025930980697992,0.29538521465985423,-0.6142875181143995,60768.333333333336,11294.0,2
NORMAL_NATIVE_REFERENCE,entry_hour,14,1,1,0,0,100.0,76.61,76.61,0,,76.61,,3.983879355174207,,,,3.983879355174207,352800.0,352800.0,0
NORMAL_NATIVE_REFERENCE,entry_hour,15,4,1,3,0,25.0,-54.77,1.25,-56.02,0.022313459478757586,1.25,-18.673333333333336,0.051867219917012444,-0.8025488615498085,0.06694037843627275,0.0646281147503608,-0.5889448411831032,30256.5,27717.0,2
NORMAL_NATIVE_REFERENCE,entry_hour,16,13,4,9,0,30.76923076923077,44.10999999999999,248.04,-203.93,1.2162997106850388,62.01,-22.65888888888889,2.658672795035053,-0.9966712858007379,2.7366743490413374,2.667552314300941,0.12804996984104397,54022.61538461538,12303.0,7
