condition,status
NORMAL,UNRESOLVED_NO_VALID_CONTINUOUS_TICK_LEVEL_EQUITY
HIGH,UNRESOLVED_NO_VALID_CONTINUOUS_TICK_LEVEL_EQUITY
STRESS,UNRESOLVED_NO_VALID_CONTINUOUS_TICK_LEVEL_EQUITY
200MS,UNRESOLVED_NO_VALID_CONTINUOUS_TICK_LEVEL_EQUITY
