field,value
classification,RIGHT_CENSORED_OPEN_POSITION
eligible_to,2025.02.05 00:00:00
observation_time,2025.02.04 23:59:58
position_open,YES
position_ticket,8
position_identifier,8
position_type,0
volume,0.06000000
entry_price,1.0377300000
stop_loss,1.0336200000
unrealized_result_reporting_only,0.36000000
formal_pnl_included,NO
naturally_closed_trade_included,NO
