schema,time,dataset,execution_layer,symbol,record_type,signal_time,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,fill_confirmed,atr_or_exit_reason
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.12 10:05:02,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,EXIT_TRANSACTION,NONE,BUY,0.6709800000,0.6709800000,0,0.0000,0.02000000,0,0,7,7,10009,YES,CROSS_SECTIONAL_WEEKLY_REBALANCE
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.12 10:05:02,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,EXIT_TRANSACTION,NONE,SELL,0.5758200000,0.5758200000,0,0.0000,0.01000000,0,0,8,8,10009,YES,CROSS_SECTIONAL_WEEKLY_REBALANCE
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.12 10:05:02,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,EXIT_TRANSACTION,NONE,BUY,157.7550000000,157.7500000000,0,5.0000,0.01000000,0,0,9,9,10009,YES,CROSS_SECTIONAL_WEEKLY_REBALANCE
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.12 10:05:02,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,ENTRY_TRANSACTION,NONE,BUY,1.3454600000,1.3454600000,15,0.0000,0.01000000,20.92000000,1.3245400000,10,10,10009,YES,0.000000000000
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.12 10:05:02,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,ENTRY_TRANSACTION,NONE,BUY,0.6711300000,0.6711300000,14,0.0000,0.02000000,24.84000000,0.6587100000,11,11,10009,YES,0.000000000000
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.12 10:05:02,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,ENTRY_TRANSACTION,NONE,SELL,0.5757200000,0.5757200000,14,0.0000,0.01000000,13.47000000,0.5891900000,12,12,10009,YES,0.000000000000
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.12 10:05:02,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCAD,ENTRY_TRANSACTION,NONE,BUY,1.3873200000,1.3873300000,16,1.0000,0.02000000,23.41474668,1.3710900000,13,13,10009,YES,0.000000000000
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.19 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,EXIT_ATTEMPT,2026.01.19 10:05:00,BUY,1.3393100000,0.0000000000,0,0.0000,0.01000000,0,0,14,14,10009,NO,CROSS_SECTIONAL_WEEKLY_REBALANCE
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.19 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,EXIT_ATTEMPT,2026.01.19 10:05:00,BUY,0.6691600000,0.0000000000,0,0.0000,0.02000000,0,0,15,15,10009,NO,CROSS_SECTIONAL_WEEKLY_REBALANCE
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.19 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,EXIT_ATTEMPT,2026.01.19 10:05:00,SELL,0.5772200000,0.0000000000,0,0.0000,0.01000000,0,0,16,16,10009,NO,CROSS_SECTIONAL_WEEKLY_REBALANCE
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.19 10:05:01,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCAD,EXIT_ATTEMPT,2026.01.19 10:05:00,BUY,1.3892200000,0.0000000000,0,0.0000,0.02000000,0,0,17,17,10009,NO,CROSS_SECTIONAL_WEEKLY_REBALANCE
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.19 10:05:01,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,ENTRY_ATTEMPT,2026.01.19 10:05:00,BUY,1.3394500000,0.0000000000,14,0.0000,0.01000000,21.43000000,1.3180200000,18,18,10009,NO,0.007142857143
