condition,previous_signal,previous_last_executed_entry,next_signal,next_first_executed_entry,elapsed_seconds,elapsed_days,crosses_2025_2026_seam,affected_by_cutoff,genuinely_reaches_60_days,sixty_day_timestamp,executed_trade_inside_interval
200MS,2025.09.01 10:05:00,2025.09.01 10:05:01,2025.10.06 10:05:00,2025.10.06 10:05:02,3024001,35.00001157407407,NO,NO,NO,,NO
200MS,2025.10.06 10:05:00,2025.10.06 10:05:03,2025.11.03 10:05:00,2025.11.03 10:05:02,2419199,27.999988425925928,NO,NO,NO,,NO
200MS,2025.11.03 10:05:00,2025.11.03 10:05:03,2025.12.01 10:05:00,2025.12.01 10:05:02,2419199,27.999988425925928,NO,NO,NO,,NO
200MS,2025.12.01 10:05:00,2025.12.01 10:05:03,2026.01.05 10:05:00,2026.01.05 10:05:03,3024000,35.0,YES,NO,NO,,NO
200MS,2026.01.05 10:05:00,2026.01.05 10:05:04,2026.02.02 10:05:00,2026.02.02 10:05:01,2419197,27.99996527777778,NO,NO,NO,,NO
200MS,2026.02.02 10:05:00,2026.02.02 10:05:02,2026.04.06 10:05:00,2026.04.06 10:05:00,5443198,62.999976851851855,NO,NO,YES,2026.04.03 10:05:02,NO
200MS,2026.04.06 10:05:00,2026.04.06 10:05:01,2026.05.04 10:05:00,2026.05.04 10:05:00,2419199,27.999988425925928,NO,NO,NO,,NO
200MS,2026.05.04 10:05:00,2026.05.04 10:05:01,2026.06.01 10:05:00,2026.06.01 10:05:01,2419200,28.0,NO,NO,NO,,NO
200MS,2026.06.01 10:05:00,2026.06.01 10:05:02,2026.07.06 10:05:00,2026.07.06 10:05:03,3024001,35.00001157407407,NO,NO,NO,,NO
200MS,2026.07.06 10:05:00,2026.07.06 10:05:04,TEST_CUTOFF_EXCLUSIVE,2026.08.01 00:00:00,2210096,25.579814814814814,NO,YES,NO,,NO
