condition,signal_time,entry_time,symbol,adjusted_flat_balance_before_cohort,loss_per_lot_from_executed_stop,executed_volume,cost_feedback_expected_volume,volume_matches,inside_applicable_phase1_interval
200MS,2025.12.01 10:05:00,2025.12.01 10:05:03,NZDUSD,10244.41,1462.0,0.03,0.03,YES,NO
200MS,2025.12.01 10:05:00,2025.12.01 10:05:03,USDCAD,10244.41,1168.511685,0.04,0.04,YES,NO
200MS,2025.12.01 10:05:00,2025.12.01 10:05:03,USDCHF,10244.41,2145.0369115,0.02,0.02,YES,NO
200MS,2025.12.01 10:05:00,2025.12.01 10:05:03,USDJPY,10244.41,1999.845572,0.02,0.02,YES,NO
200MS,2026.01.05 10:05:00,2026.01.05 10:05:03,EURUSD,10366.35,1361.0,0.03,0.03,YES,NO
200MS,2026.01.05 10:05:00,2026.01.05 10:05:03,GBPUSD,10366.35,2192.0,0.02,0.02,YES,NO
200MS,2026.01.05 10:05:00,2026.01.05 10:05:03,AUDUSD,10366.35,1152.0,0.04,0.04,YES,NO
200MS,2026.01.05 10:05:00,2026.01.05 10:05:03,NZDUSD,10366.35,1265.0,0.04,0.04,YES,NO
200MS,2026.01.05 10:05:00,2026.01.05 10:05:04,USDCAD,10366.35,1009.7563807999999,0.05,0.05,YES,NO
200MS,2026.01.05 10:05:00,2026.01.05 10:05:04,USDCHF,10366.35,1647.9089560000002,0.03,0.03,YES,NO
200MS,2026.01.05 10:05:00,2026.01.05 10:05:04,USDJPY,10366.35,1878.8346000000001,0.02,0.02,YES,NO
200MS,2026.02.02 10:05:00,2026.02.02 10:05:01,EURUSD,10701.19,2819.0,0.01,0.01,YES,NO
200MS,2026.02.02 10:05:00,2026.02.02 10:05:01,GBPUSD,10701.19,2935.0,0.01,0.01,YES,NO
200MS,2026.02.02 10:05:00,2026.02.02 10:05:01,AUDUSD,10701.19,2020.0,0.02,0.02,YES,NO
200MS,2026.02.02 10:05:00,2026.02.02 10:05:02,NZDUSD,10701.19,1781.0,0.03,0.03,YES,NO
200MS,2026.02.02 10:05:00,2026.02.02 10:05:02,USDCAD,10701.19,1636.622391,0.03,0.03,YES,NO
200MS,2026.02.02 10:05:00,2026.02.02 10:05:02,USDCHF,10701.19,3324.751937,0.01,0.01,YES,NO
200MS,2026.02.02 10:05:00,2026.02.02 10:05:02,USDJPY,10701.19,2910.4968949999998,0.01,0.01,YES,NO
200MS,2026.04.06 10:05:00,2026.04.06 10:05:00,EURUSD,10625.84,2672.0,0.01,0.01,YES,NO
200MS,2026.04.06 10:05:00,2026.04.06 10:05:00,GBPUSD,10625.84,3743.9999999999995,0.01,0.01,YES,NO
200MS,2026.04.06 10:05:00,2026.04.06 10:05:00,AUDUSD,10625.84,2375.0,0.02,0.02,YES,NO
200MS,2026.04.06 10:05:00,2026.04.06 10:05:01,NZDUSD,10625.84,2003.0,0.02,0.02,YES,NO
200MS,2026.04.06 10:05:00,2026.04.06 10:05:01,USDCAD,10625.84,1287.2802359999998,0.04,0.04,YES,NO
200MS,2026.04.06 10:05:00,2026.04.06 10:05:01,USDCHF,10625.84,2829.443819,0.01,0.01,YES,NO
200MS,2026.04.06 10:05:00,2026.04.06 10:05:01,USDJPY,10625.84,2207.661547,0.02,0.02,YES,NO
200MS,2026.05.04 10:05:00,2026.05.04 10:05:00,EURUSD,10354.66,1862.0,0.02,0.02,YES,NO
200MS,2026.05.04 10:05:00,2026.05.04 10:05:00,GBPUSD,10354.66,2429.0,0.02,0.02,YES,NO
200MS,2026.05.04 10:05:00,2026.05.04 10:05:00,AUDUSD,10354.66,1870.0,0.02,0.02,YES,NO
200MS,2026.05.04 10:05:00,2026.05.04 10:05:01,NZDUSD,10354.66,1862.0,0.02,0.02,YES,NO
200MS,2026.05.04 10:05:00,2026.05.04 10:05:01,USDCAD,10354.66,1350.0257943333334,0.03,0.03,YES,NO
200MS,2026.05.04 10:05:00,2026.05.04 10:05:01,USDCHF,10354.66,2321.637352,0.02,0.02,YES,NO
200MS,2026.05.04 10:05:00,2026.05.04 10:05:01,USDJPY,10354.66,2358.8469565,0.02,0.02,YES,NO
200MS,2026.06.01 10:05:00,2026.06.01 10:05:01,EURUSD,10200.83,1637.0,0.03,0.03,YES,NO
200MS,2026.06.01 10:05:00,2026.06.01 10:05:01,GBPUSD,10200.83,2512.0,0.02,0.02,YES,NO
200MS,2026.06.01 10:05:00,2026.06.01 10:05:01,AUDUSD,10200.83,1778.9999999999998,0.02,0.02,YES,NO
200MS,2026.06.01 10:05:00,2026.06.01 10:05:02,NZDUSD,10200.83,1805.9999999999998,0.02,0.02,YES,NO
200MS,2026.06.01 10:05:00,2026.06.01 10:05:02,USDCAD,10200.83,1193.59449725,0.04,0.04,YES,NO
200MS,2026.06.01 10:05:00,2026.06.01 10:05:02,USDCHF,10200.83,2356.295387,0.02,0.02,YES,NO
200MS,2026.06.01 10:05:00,2026.06.01 10:05:02,USDJPY,10200.83,1139.56361675,0.04,0.04,YES,NO
200MS,2026.07.06 10:05:00,2026.07.06 10:05:03,EURUSD,10667.71,2023.9999999999998,0.02,0.02,YES,NO
200MS,2026.07.06 10:05:00,2026.07.06 10:05:03,GBPUSD,10667.71,2558.0,0.02,0.02,YES,NO
200MS,2026.07.06 10:05:00,2026.07.06 10:05:03,AUDUSD,10667.71,1443.0,0.03,0.03,YES,NO
200MS,2026.07.06 10:05:00,2026.07.06 10:05:04,NZDUSD,10667.71,1342.0,0.03,0.03,YES,NO
200MS,2026.07.06 10:05:00,2026.07.06 10:05:04,USDCAD,10667.71,1335.0965800000001,0.04,0.03,NO,NO
200MS,2026.07.06 10:05:00,2026.07.06 10:05:04,USDCHF,10667.71,2110.38558,0.02,0.02,YES,NO
200MS,2026.07.06 10:05:00,2026.07.06 10:05:04,USDJPY,10667.71,1329.47905625,0.04,0.04,YES,NO
