dataset,source_segment_closed_profit_usd_not_continuous,trade_count,buy_count,buy_net_usd,sell_count,sell_net_usd,largest_trade_usd,largest_loss_usd
V28_2025_DEVELOPMENT,208.13332978351247,70,36,237.857465045404,34,-29.724135261891448,133.37511500206304,-71.74505510749674
V28_2026_PRESEAL_DEVELOPMENT,103.21038075515209,35,18,239.87809618605263,17,-136.66771543090056,117.77746824392726,-58.8078425429628
