dataset,source_segment_profit_usd_not_continuous,trade_count,buy_count,buy_net_usd_not_continuous,sell_count,sell_net_usd_not_continuous,largest_trade_usd,largest_trade_symbol,largest_trade_exit_time,largest_losing_trade_usd,largest_losing_trade_symbol,largest_losing_trade_exit_time,best_source_timestamp_date_not_e8_server_day,best_source_timestamp_date_profit_usd,best_source_date_percent_of_segment_profit,largest_positive_symbol,largest_positive_symbol_net_usd,largest_positive_symbol_percent_of_segment_profit
V28_2025_DEVELOPMENT,208.13332978351247,70,36,237.857465045404,34,-29.724135261891448,133.37511500206304,USDCHF,2025.04.07 10:05:00,-71.74505510749674,USDJPY,2025.10.06 07:37:36,2025.04.07,368.2283377273499,176.91944779356504,EURUSD,123.26066275772504,59.2219722261366
V28_2026_PRESEAL_DEVELOPMENT,103.21038075515203,35,18,239.87809618605263,17,-136.66771543090056,117.77746824392726,USDCAD,2026.07.06 10:05:00,-58.8078425429628,USDCAD,2026.05.21 16:08:04,2026.07.06,487.80799176599896,472.63462085585684,AUDUSD,145.51056614047627,140.98442915899494
