dataset,source_segment_profit_usd_not_continuous,trade_count,buy_count,buy_net_usd_not_continuous,sell_count,sell_net_usd_not_continuous,largest_trade_usd,largest_trade_symbol,largest_trade_exit_time,largest_losing_trade_usd,largest_losing_trade_symbol,largest_losing_trade_exit_time,best_source_timestamp_date_not_e8_server_day,best_source_timestamp_date_profit_usd,best_source_date_percent_of_segment_profit,largest_positive_symbol,largest_positive_symbol_net_usd,largest_positive_symbol_percent_of_segment_profit
V28_2025_DEVELOPMENT,349.17313028439804,70,36,298.77430423615334,34,50.398826048244786,139.71322503349202,USDCHF,2025.04.07 10:05:00,-67.02258504441697,USDJPY,2025.10.06 07:37:36,2025.04.07,389.7041352740984,111.60771017995808,EURUSD,148.37632775483195,42.49362705371427
V28_2026_PRESEAL_DEVELOPMENT,180.1325195106944,35,18,277.12440130286257,17,-96.99188179216816,120.74151888839623,USDCAD,2026.07.06 10:05:00,-56.45440934759148,USDCAD,2026.05.21 16:08:04,2026.07.06,505.8297249806739,280.80977624400737,AUDUSD,149.94019824273528,83.23882808613764
