schema,server_time,time_msc,event,balance,equity,floating_profit,margin,free_margin,positions
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:01,1736157901618,TRADE_TRANSACTION,10000.00000000,9998.22000000,-1.78000000,395.69000000,9602.53000000,7
