schema,symbol,previous_tick,current_tick,gap_seconds
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.06.29 23:59:59,2018.07.02 00:00:00,172801
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.07.06 23:59:59,2018.07.09 00:00:00,172801
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.07.13 23:59:59,2018.07.16 00:01:00,172861
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.07.20 23:59:59,2018.07.23 00:00:00,172801
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.07.27 23:59:59,2018.07.30 00:00:00,172801
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.08.03 23:59:59,2018.08.06 00:00:00,172801
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.08.10 23:59:59,2018.08.13 00:00:30,172831
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.08.17 23:59:30,2018.08.20 00:00:30,172860
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.08.24 23:59:59,2018.08.27 00:00:00,172801
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.08.31 23:57:59,2018.09.03 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.09.07 23:58:30,2018.09.10 00:00:00,172890
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.09.14 23:57:59,2018.09.17 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.09.21 23:57:59,2018.09.24 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.09.28 23:57:59,2018.10.01 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.10.05 23:59:59,2018.10.08 00:00:00,172801
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.10.12 23:59:59,2018.10.15 00:00:00,172801
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.10.19 23:57:59,2018.10.22 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.10.26 23:57:59,2018.10.29 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.11.02 23:57:59,2018.11.05 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.11.09 23:59:59,2018.11.12 00:00:30,172831
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.11.16 23:57:59,2018.11.19 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.11.23 23:57:30,2018.11.26 00:00:00,172950
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.11.30 23:58:30,2018.12.03 00:00:00,172890
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.12.07 23:57:59,2018.12.10 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.12.14 23:59:59,2018.12.17 00:00:30,172831
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.12.21 23:58:30,2018.12.24 00:00:30,172920
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.12.24 23:59:59,2018.12.26 00:01:30,86491
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.12.28 23:57:59,2018.12.31 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2018.12.31 23:59:59,2019.01.02 00:00:30,86431
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.01.04 23:57:59,2019.01.07 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.01.11 23:57:59,2019.01.14 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.01.18 23:59:59,2019.01.21 00:00:30,172831
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.01.25 23:58:30,2019.01.28 00:00:30,172920
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.02.01 23:57:59,2019.02.04 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.02.08 23:58:30,2019.02.11 00:00:30,172920
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.02.15 23:57:59,2019.02.18 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.02.22 23:57:59,2019.02.25 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.03.01 23:57:59,2019.03.04 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.03.08 23:57:59,2019.03.11 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.03.15 23:57:59,2019.03.18 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.03.22 23:57:59,2019.03.25 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.03.29 23:57:59,2019.04.01 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.04.05 23:57:59,2019.04.08 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.04.12 23:57:59,2019.04.15 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.04.19 23:57:59,2019.04.22 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.04.26 23:57:30,2019.04.29 00:00:30,172980
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.05.03 23:57:59,2019.05.06 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.05.10 23:58:30,2019.05.13 00:00:00,172890
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.05.17 23:58:30,2019.05.20 00:00:00,172890
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.05.24 23:58:30,2019.05.27 00:00:30,172920
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.05.31 23:57:59,2019.06.03 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.06.07 23:57:59,2019.06.10 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.06.14 23:57:59,2019.06.17 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.06.21 23:57:59,2019.06.24 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.06.28 23:58:59,2019.07.01 00:00:30,172891
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.07.05 23:57:59,2019.07.08 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.07.12 23:57:59,2019.07.15 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.07.19 23:57:59,2019.07.22 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.07.26 23:57:59,2019.07.29 00:01:30,173011
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.08.02 23:57:59,2019.08.05 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.08.09 23:58:30,2019.08.12 00:01:30,172980
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.08.16 23:57:59,2019.08.19 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.08.23 23:57:59,2019.08.26 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.08.30 23:57:59,2019.09.02 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.09.06 23:57:59,2019.09.09 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.09.13 23:57:59,2019.09.16 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.09.20 23:57:59,2019.09.23 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.09.27 23:58:30,2019.09.30 00:00:00,172890
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.10.04 23:57:59,2019.10.07 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.10.11 23:57:59,2019.10.14 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.10.18 23:57:59,2019.10.21 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2019.10.25 23:57:59,2019.10.28 00:00:00,172921
