physical_run,run_id,segment,dataset,cost_profile,execution_layer,position_identifier,direction,entry_time,exit_time,entry_price,exit_price,volume,initial_risk_amount,native_deal_net_before_external_commission,native_tester_commission,external_commission_adjustment,native_trade_net,spread_cost,swap_cost,fee_cost,adverse_entry_slippage_cost,adverse_exit_slippage_cost,native_friction,supplementary_multiplier,supplementary_charge,adjusted_trade_net,realized_net_R,exit_reason,naturally_closed,holding_seconds,synthetic_equity_before,synthetic_cash_flow,synthetic_equity_after
6,006-d2-stress-native,D2,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,2,SHORT,2025-02-19T19:00:00,2025-02-19T21:14:27,1.04041,1.04271,0.1,23.0,-23.0,0.0,0.6000000000000001,-23.6,1.1,0.0,0.0,0.0,0.0,1.7000000000000002,1.0,1.7000000000000002,-25.3,-1.1,STOP_LOSS_EXIT,True,8067.0,10000.0,-27.500000000000004,9972.5
6,006-d2-stress-native,D2,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,4,LONG,2025-02-20T18:00:04,2025-02-21T11:00:00,1.04733,1.04759,0.08,22.4,1.3,0.0,0.48,0.8200000000000001,0.96,0.78,0.0,0.0,0.0,2.2199999999999998,1.0,2.2199999999999998,-1.3999999999999997,-0.06249999999999999,LONG_EXIT_BREAKOUT,True,61196.0,9972.5,-1.558203125,9970.941796875
6,006-d2-stress-native,D2,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,6,LONG,2025-02-24T04:00:00,2025-02-24T09:45:01,1.05187,1.04888,0.08,23.92,-23.92,0.0,0.48,-24.400000000000002,0.96,0.0,0.0,0.0,0.0,1.44,1.0,1.44,-25.840000000000003,-1.0802675585284283,STOP_LOSS_EXIT,True,20701.0,9970.941796875,-26.92821237784804,9944.013584497152
6,006-d2-stress-native,D2,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,8,SHORT,2025-02-27T05:00:00,2025-03-03T12:01:32,1.04706,1.04289,0.09,23.76,38.35,0.0,0.54,37.81,0.99,0.82,0.0,0.0,0.0,2.35,1.0,2.35,35.46,1.4924242424242424,SHORT_EXIT_BREAKOUT,True,370892.0,9944.013584497152,37.101717351248844,9981.1153018484
7,007-d3-normal-native,D3,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,2,SHORT,2025-03-21T19:00:00,2025-03-24T02:55:13,1.08058,1.08378,0.07,22.33,-22.08,0.0,0.42000000000000004,-22.5,0.8400000000000001,0.32,0.0,0.0,0.0,1.5800000000000003,0.0,0.0,-22.5,-1.007613076578594,STOP_LOSS_EXIT,True,201313.0,10000.0,-25.19032691446485,9974.809673085536
7,007-d3-normal-native,D3,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,4,SHORT,2025-03-24T17:00:00,2025-03-25T13:52:40,1.07925,1.0825,0.07,22.75,-22.43,0.0,0.42000000000000004,-22.85,0.9100000000000001,0.32,0.0,0.0,0.0,1.6500000000000001,0.0,0.0,-22.85,-1.0043956043956044,STOP_LOSS_EXIT,True,75160.0,9974.809673085536,-25.04663747582467,9949.76303560971
7,007-d3-normal-native,D3,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,6,SHORT,2025-03-26T21:00:00,2025-03-27T07:36:38,1.07562,1.07873,0.08,24.8,-23.799999999999997,0.0,0.48,-24.279999999999998,0.96,1.08,0.0,0.0,0.0,2.52,0.0,0.0,-24.279999999999998,-0.979032258064516,STOP_LOSS_EXIT,True,38198.0,9949.76303560971,-24.35284742989957,9925.41018817981
7,007-d3-normal-native,D3,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,8,SHORT,2025-03-28T13:00:00,2025-03-28T16:08:14,1.07733,1.07983,0.1,24.7,-25.0,0.0,0.6000000000000001,-25.6,1.2000000000000002,0.0,0.0,0.0,0.0,1.8000000000000003,0.0,0.0,-25.6,-1.0364372469635628,STOP_LOSS_EXIT,True,11294.0,9925.41018817981,-25.717662026052952,9899.692526153758
7,007-d3-normal-native,D3,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,10,SHORT,2025-03-31T16:00:00,2025-04-01T04:00:00,1.0803,1.08257,0.07,22.47,-15.57,0.0,0.42000000000000004,-15.99,0.9100000000000001,0.32,0.0,0.0,0.0,1.6500000000000001,0.0,0.0,-15.99,-0.711615487316422,SHORT_EXIT_BREAKOUT,True,43200.0,9899.692526153758,-17.611936303204118,9882.080589850553
7,007-d3-normal-native,D3,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,12,SHORT,2025-04-01T15:00:00,2025-04-01T17:13:12,1.07806,1.08091,0.08,22.8,-22.8,0.0,0.48,-23.28,1.04,0.0,0.0,0.0,0.0,1.52,0.0,0.0,-23.28,-1.0210526315789474,STOP_LOSS_EXIT,True,7992.0,9882.080589850553,-25.225310979355363,9856.855278871199
7,007-d3-normal-native,D3,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,14,LONG,2025-04-02T16:00:00,2025-04-04T11:00:00,1.08195,1.10036,0.09,23.13,162.2,0.0,0.54,161.66,1.08,3.49,0.0,0.0,0.0,5.11,0.0,0.0,161.66,6.989191526156507,LONG_EXIT_BREAKOUT,True,154800.0,9856.855278871199,172.22862347409404,10029.083902345292
7,007-d3-normal-native,D3,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,16,LONG,2025-04-09T04:00:00,2025-04-09T20:25:52,1.10154,1.09541,0.04,24.36,-24.52,0.0,0.24,-24.759999999999998,0.52,0.0,0.0,0.0,0.0,0.76,0.0,0.0,-24.759999999999998,-1.0164203612479474,STOP_LOSS_EXIT,True,59152.0,10029.083902345292,-25.48441270751944,10003.599489637772
7,007-d3-normal-native,D3,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,18,LONG,2025-04-10T14:00:00,2025-04-14T16:00:00,1.10804,1.13383,0.03,19.23,76.79,0.0,0.18,76.61,0.39,0.58,0.0,0.0,0.0,1.15,0.0,0.0,76.61,3.983879355174207,LONG_EXIT_BREAKOUT,True,352800.0,10003.599489637772,99.63283371049789,10103.232323348271
