schema,server_time,time_msc,event,balance,equity,floating_profit,margin,free_margin,positions
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:00,1736157900409,TRADE_TRANSACTION,10000.00000000,9998.19000000,-1.81000000,395.68000000,9602.51000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:00,1736157900409,TRADE_TRANSACTION,10000.00000000,9998.19000000,-1.81000000,395.68000000,9602.51000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:00,1736157900409,TRADE_TRANSACTION,10000.00000000,9998.19000000,-1.81000000,395.68000000,9602.51000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:00,1736157900409,TRADE_TRANSACTION,10000.00000000,9998.19000000,-1.81000000,395.68000000,9602.51000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:00,1736157900409,TRADE_TRANSACTION,10000.00000000,9998.19000000,-1.81000000,395.68000000,9602.51000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:00,1736157900409,TRADE_TRANSACTION,10000.00000000,9998.19000000,-1.81000000,395.68000000,9602.51000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:00,1736157900409,TRADE_TRANSACTION,10000.00000000,9998.19000000,-1.81000000,395.68000000,9602.51000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:00,1736157900409,TRADE_TRANSACTION,10000.00000000,9998.19000000,-1.81000000,395.68000000,9602.51000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:00,1736157900409,TRADE_TRANSACTION,10000.00000000,9998.19000000,-1.81000000,395.68000000,9602.51000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:00,1736157900409,TRADE_TRANSACTION,10000.00000000,9998.19000000,-1.81000000,395.68000000,9602.51000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:00,1736157900409,TRADE_TRANSACTION,10000.00000000,9998.19000000,-1.81000000,395.68000000,9602.51000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2025.01.06 10:05:00,1736157900409,TRADE_TRANSACTION,10000.00000000,9998.19000000,-1.81000000,395.68000000,9602.51000000,7
